title,cook_time,ingredients,instructions,url,scraped_at,servings
Cheesey Vegetable Rava upma,20 min,"1 and half cup of rava | some cashew nuts | 1 serving spoon butter | 5,6 curry leaves, | hing Pinch off | 1 tsp mustard seeds | 1 small chopped capsicum | 1 small,onion, | 2 chilli | 1 tomato | 1/2 tsp turmeric powder, | 1/3 tsp chilli powder, | 1 spoon or more asper need tomato sauce, | salt.as per need | 1 and half glass of water | 1 maggi masala | 2 cheese cube",,https://cookpad.com/eng/recipes/17043729,2025-08-07T11:59:42.825279,1
Railway train upma,,1 cup rava/samolina roasted | 1/2 tsp Cumin seeds | 1/2 tsp Ginger chopped | 1 green chilli chopped | leaves Few curry | 1 dry red chilli | 2 tbsp Peanuts (optional) | 1 tsp Mixed dal or urad and chanadal | 1/2 tsp Mustard | 4 times Water | to taste Salt | 3 tbsp or less oil | 1 onion chopped,,https://cookpad.com/eng/recipes/8860403,2025-08-07T11:59:46.334927,
Quinoa Veg Upma❤️,25 min,"1/2 small bowl of Quinoa | Vegetables as per your choice | 1/2 carrot,capsicum,potato,peas,tomato | Salt to taste | 1 tsp Asafoetida | 1 pinch turmeric powder | 1/2 tsp Red chilli powder | 1 tsp lemon juice | 1 tsp ghee | 1 tsp Cummins seeds | Finely chopped coriander leaves",,https://cookpad.com/eng/recipes/24717868,2025-08-07T11:59:50.278234,
String hopper/ Idiyappam,30 min,2 cups string hopper flour | 11/2 cups water | 1 tsp salt | 1 tsp oil,,https://cookpad.com/eng/recipes/23842945,2025-08-07T11:59:54.698396,4
Sri Lankan chicken curry 🐓🧅🍅,55 mins,"3-4 tbsp coconut oil /sunflower oil 🌻 | 1/2 cup finely chopped onions 🧅 | 5-6 minced garlic 🧄 | 1 "" minced ginger | 7-8 curry leaves 🌱 | 21/2 tbsp roasted Sri Lankan curry powder | 2 cinnamon sticks | Salt to taste 🧂 | 1/2 tsp cayenne powder 🌶️ | 1 tbsp paprika powder 🌶️/ kashmiri red chillies powder 🌶️ | 1 whole chicken 🐓 (cut pieces into chicken thighs, leg pieces) | 2 tbsp green chillies paste | 2 chopped tomato 🍅 | 1 tsp brown sugar | 2 tsp apple cider vinegar 🍎 | 1/2 cup coconut milk 🥥 | 1/2 cup water 💦 | 2 tbsp finely chopped coriander leaves 🌿 | 2 finely chopped green chillies",,https://cookpad.com/eng/recipes/16710160,2025-08-07T11:59:59.886118,6
Soybeans Upma,8 min,1/2 cup soy beans | 5 tbsp grated coconut | 1 tsp Coriander seeds | 2 red dried chilis | 2 pods garlic (optional) | 2 tsp mustard seeds | 4-5 curry leaves Salt to taste | 1 chopped onions | 1/2 tsp Turmeric Powder | Water for boiling | 2-3 tsp roasted peanuts | 1 tbsp olive oil or coconut oil,,https://cookpad.com/eng/recipes/12504564,2025-08-07T12:00:04.363563,
Upma Pesarattu,25 mins,"For Pesarattu :- | 1 cup Green Moong Dal :- (Cleaned, washed and soaked overnight) | 1/2 cup Raw Rice :- (Cleaned, washed and soaked overnight with green moong dal) | 1 inch Ginger | 2-3 Green chillies | 1 tspn Jeera / cumin | To taste Salt | as needed Ghee - To make dosas | For toppings :- | 3 medium sized Onions :- Finely chopped | 1 tbspn Jeera / cumin | 2-3 Green chillies -finely chopped (Optional) | 1 inch Ginger - finely chopped (Optional) | 1 tbspn Oil | For Upma :- | 2 tbspn Oil | 1 tspn each Chana Dal, Urad dal / bengal gram,black split gram | 1/2 tspn Mustard seeds | 6-7 Curry leaves | 3 chopped Green chillies | 1 medium sized Onion chopped | 1 cup Sooji / semolins Dry roasted | To taste Salt | 2 tspn Ghee - (Optional, but this really makes a difference in the taste of upma) | 3 cups Water",,https://cookpad.com/eng/recipes/7186936,2025-08-07T12:00:08.126629,4-5
Proso Millet Upma,25 mins,"for 2 persons 1 small bowl proso millet | 1 chopped onion | 1 chopped carrot | as needed green chopped | 1/2 tsp haldi powder | 1 ntsp red chilly powder | 1/2 tsp green chilly, ginger and garlic paste | 1 tsp roasted cumin powder | leaves chopped corainder | for tadka | leaves few chopped curry | 1 broken whole red chilly | 1/2 tsp mustard seeds | as needed salt | oil for frying",,https://cookpad.com/eng/recipes/16935818,2025-08-07T12:00:12.136493,2
Idli sambar,5 hours,2 cup idli rice | 1 cup urad dal | Salt as per taste | For sambar : | 1/2 cup Tur dal | 1/2 cup mung dal | 1 tomato | 1 green chilli | 1 potato | Half cucumber | 1 carrot | 1 cup bottle gourd | 4 tbsp homemade sambar masal | # For tadaka : | 1 tbsp Jeera | 1 tbsp mustard seeds | 1 pinch hing | leaves Curry | 2 tbsp Oil | 1 tbsp jeera dhanya powder | 1 ts turmeric powder | 8 pieces cut Moringo (shevga),,https://cookpad.com/eng/recipes/22602569,2025-08-07T12:00:16.250559,4
My best ever healthy upma,20 min,1 cup Sooji thick | 3 cups Boiling Water | 1 Cup Chopped Spinach | 3 tsp Chopped Ginger | 2 Chopped Green chilies | 3 tsp Sour Curd | For Tempering | 3 tsp Mustard seeds | 2 tsp Jeera | 1 tsp Asafoetida | 7/8 Curry leaves | 3 tsp Chopped coriander | 4 tsp Grated coconut | 4 tsp Fine sev,,https://cookpad.com/eng/recipes/24677578,2025-08-07T12:00:20.923345,3
Vermicelli upma,25 min,250 gms semolina vermicelli | 1 onion | 3 green chillies | 2 tbsp Peanuts | 2 tbsp oil | to taste Salt | 1/2 tbsp Cumin seeds | 1/2 tbsp Mustard seeds | 1 tbsp Coariander leaves | 500 ml water | 1/2 tsp sugar | 1 tsp lemon juice,,https://cookpad.com/eng/recipes/13842907,2025-08-07T12:00:25.665464,
Bread Upma,,"4 bread slice, chopped | 1 onion, finely chopped (big) | 2 tomato, finely chopped | 1/2 cup coloured bell pepper, finely chopped | 1 tsp mustard seeds | 5-6 curry leaves | 1 green chilli, finely chopped | 1 tsp ginger-garlic paste | 1/2 tsp red chilli powder | 1/2 tsp turmeric powder | 1/2 tsp cumin powder | to taste Salt | 1 tbsp tomato ketchup | as needed Drizzle of lemon juice | as needed Sev, to garnish",,https://cookpad.com/eng/recipes/9274090,2025-08-07T12:00:29.119872,
Tomato Vermicelli Upma,,"1/2 cup roasted vermicelli | 2 tbsp. oil | 1/2 tsp. mustard seeds | 1/2 tsp. cumin seeds | 1 dry red chili | 1 tsp. urad dal | 1/4 tsp. asafoetida | 1 sprig curry leaves | 1 onion, chopped | 1 tsp. garlic, chopped | 1 tsp. ginger, chopped | 2 green chilies, chopped | 1/2 tsp. turmeric powder | 1/2 tsp. roasted cumin powder | 1/2 tsp. roasted coriander powder | 1 tomato, chopped | 1/3 cup frozen green peas | salt to taste | 10-12 roasted cashew | 1 tsp. sambar powder | 1 tsp. lime juice | 1-2 tbsp. coriander leaves, chopped",,https://cookpad.com/eng/recipes/24741870,2025-08-07T12:00:32.277050,
Mandal oggarane (murmura upma),,"4 cups murmura | 1/4 cup puthana(roasted chana) | 1/4 cup dry kopra powder | 8 garlic pods | 3 slit green chillies | 1 onion chopped | 1 spoon thick tamarind juice | 1/2 tsp Salt | as needed Chopped coriander, tomato for garnish | 2 spoon oil | 1/2 tsp jeera | 1/2 tsp mustard | Pinch turmeric",,https://cookpad.com/eng/recipes/8629525,2025-08-07T12:00:35.749130,
Banana flower balls Kuzhambu / Gravy,45 min,1 Plantain flower | 25 gm Tamarind | 1/4 cup Chana dal | 1 Onion finely chopped | 1 Tomato chopped | 2 tbs Coconut Paste (grind with 5 baby onion and little cumin) | 1 tsp Mustard | 1 tsp urad dal | 1/2 tsp Fenugreek | 2 Red chilli | 1 tsp Red chilli powder | 1 tsp Coriander powder | 1/2 tsp Turmeric powder | 1 tsp Salt | 1/2 tsp Fennel seeds | 6 Curry leaves | 4 tbs Oil,,https://cookpad.com/eng/recipes/23935675,2025-08-07T12:00:39.936858,6
No onion Sooji Upma,25 min,2 small bowls of Sooji(Rava) | 3 pinch asafoetida | 1/2 tsp Mustard seeds (Rai) | 1/2 tsp turmeric powder (haldi) | As Per Taste Salt | 1/2 tsp cumin seeds(jeera) | 1/2 tsp grated ginger | 2 tsp udad daal | 2 tsp chana daal | 2 tbsp oil for cooking | 1 small bowl Chopped cabbage(Patta Gobhi) | 1 chopped tomato 🍅 | 4-5 chopped green chillies | Few curry leaves(kadipatta) | As required Chopped coriander,,https://cookpad.com/eng/recipes/16604108,2025-08-07T12:00:45.075890,
Sri Lankan Potato Fry,5 min,"300 g Potato cut into ½"" cubes | 2 1/2 tbs neutral flavored cooking oil | 3 sprigs curry leaves | 6 in. of Pandan Leaf cut into 2"" pieces: ok to omit if not found | 1 lg Onion cut in half and thinly sliced | 2 green chilies cut into small ¼""-⅛"" dice | 1/2 tsp chili flakes | 1 in. Piece of cinnamon broken into thirds | 4 de-poded cardamom seeds lightly ground in a pestle | 5 whole cloves lightly ground in a pestle | Salt to Taste | flesh of 2 tamarind seeds | 1/2 tsp turmeric powder | 1 tsp freshly cracked black pepper",,https://cookpad.com/eng/recipes/15029230,2025-08-07T12:00:49.834286,
Samai upma (Little millet upma),15 mins,1 cup samai (Little millet) | 2 1/2 cup water | 1 carrot finely chopped | 6-7 beans finely chopped | 2 tbsp peas | 1 tbsp oil | Mustard seeds to temper | leaves Few curry | 3 red chilly,,https://cookpad.com/eng/recipes/13068213,2025-08-07T12:00:54.625815,3
Sivappu arsi(Red Rice) and Ragi puttu and Kadalai karai and Nattu Sarkarai,40 min,1 .Red rice puttu powder 2cups | 2 .Ragi puttu powder half glass | 3 .coconut one (fully scrapped) | 4 .Natty Sarkarai or jaggery powder organic 100 grams | 5 .salt half tsp | 6 .lukewarm water 2 cups and quarter glass | 7 .kadalai curry ingredients black chana 250 grams | 8 .onion one no | 9 .tomatoo 2nos | 10 .red chilli powder half tsp | 11 green chilli 2 nos | 12 .salt one tsp | 13 .refined oil or coconut oil 2tsp | 14 .jeera powder half tsp | 15 .dhania powder half tsp | 16 .garam masala powder half tsp(homemade) | 17 .dhania leaves few | 18 .hing few drops | 19 .curry leaves few,,https://cookpad.com/eng/recipes/16941390,2025-08-07T12:00:58.984908,
