recipe_id,title,instructions,calories,protein_g,carbs_g,fat_g,estimated_cost_lkr
11,Green Chilli Coconut Sambal (Pol Sambol) Recipe | KETO,"Get ready with grated coconut, onions, green chilies, thick tamarind juice, sugar, and salt. Clean the mortar and pestle. Add green chilies and salt together. Using the pestle bash and muddle them to a fine/medium textured paste. For me, it takes about 4 minutes. Now add the tamarind juice and bash them for a minute. Then add grated coconut and sugar. Bash and muddle them until all combined well. For me, it takes about 3 minutes. Finally, add the onions and bash them for one or two minutes. You don’t have to bash the onions to smooth texture, because this green chilli coconut sambal is tastier when onion pieces locate here and there. This is how to make the best green chilli coconut sambal recipe at home. Serve and enjoy this keto-friendly green pol sambol.",558.0,8.5,79.4,48.2,99.0
12,Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),"Rinse the mutton and cut it into tiny pieces. Also, cut the potato into small pieces. Besides, chop the onion, ginger, curry leaves, and green chilies. Apart from all, get ready with lime, curry powder, turmeric powder, salt, and cooking oil. Heat the oil and add half of the onion. Sauté them till translucent. Then add green chilies and curry leaves. Sauté them till onion starts turn to golden. Now, add the mutton, turmeric powder, and salt. Give a good mix. Cook covered under high flame for 5 minutes. Add potato and curry powder. Give a good mix. Cook covered under medium flame until all the liquid evaporates. For me, it takes about 10 minutes. Taste a piece of mutton, if it is not cooked well enough add some water and cook again. Now add the rest of the onion and ginger. Stir, mix and cook for one or two minutes under medium flame. Finally, switch off the flame and squeeze the lime. Also, adjust salt if needed and give one last good mix. This is how to make the best spicy typical Jaffna style curry for mutton rolls. Take a large bowl, add all-purpose flour and salt. Mix them well. Add the water little by little while mix them using a whisk. Mix well until all dissolved thoroughly. For me, it takes about 10 minutes. Take ¾ of the smooth batter for making the dosa (wrapper) and leave the rest for dipping the rolls. Heat the dosa pan and make dosa. You don’t need to flip the dosa. Cook one side is enough to make the rolls. Now put the curry on top of the dosa and make the rolls. Do the same until you finish the mutton curry. Take the breadcrumbs and the rest of the smooth batter. Dip each roll inside the batter and then coat them with the breadcrumbs. Do the same to all the rolls you made. Now heat the oil in a deep frying pan and fry the rolls under the high flame until they turn golden brown. For me, it takes about 4 minutes for each batch. This is how to make the best Jaffna mutton rolls without frozen wrappers. Serve and enjoy these typical Jaffna-style soft and crispy mutton rolls.",1687.5,24.3,103.2,141.5,677.9
13,How to Make Apple Toffee | Unique Sri Lankan Sweet,"Get ready with full cream powder, sugar, butter, grated coconut, water, ground cardamom, vanilla extract, food coloring, and cloves. Add full cream milk powder and grated coconut in a large bowl. Mix them well. Place a large skillet in a stove and switch on the flame. Add sugar and water. Boil them until all the sugar dissolves and white bubbles come out. Stir occasionally. Add butter and stir frequently under high flame for about 30 seconds or all the butter dissolves well enough. Now add the full cream milk powder-grated coconut mix. Cook uncovered under low flame for about 3 to 4 minutes. Mix and stir frequently to avoid burning. Finally, add the food coloring, vanilla extract, and ground cardamom. Cook under very low flame for about a minute and then switch off the flame. Mix and stir frequently to avoid burning. Now rub some butter in your both palms. Then, take a small portion from the dough and mold into round mini-balls like the size of cherry fruit. Insert a clove for each tinny ball. This is how to make apple toffee sweet recipe at home in Sri Lankan style. Serve and enjoy these unique delicious sweets.",944.0,13.9,73.7,56.8,113.6
14,Simple Spring Onion Flower Recipe | Vengaya Thal Poo Varai,"Take the spring onions flower/Vengaya thal poo Chop that into small pieces. Wash it well at least 2 or 3 times. (Refer Note 1) Chop the onion and green chili. Also, get ready with grated coconut, turmeric powder, and salt. (Refer Note 2) Add the chopped spring onion flower in the cooking pan. Also, add green chili, onion, salt, and turmeric powder. Now add one tablespoon of cooking oil. Mix them well and switch on the flame. Cook covered under the high flame for 3 to 5 minutes. Open the lid and cook uncovered under medium flame until the spring onion flower gets little fry. During this time you may stir and mix occasionally to avoid burn. For me, it takes 4 minutes. Finally, add grated coconut, mix, and cook uncovered under low flame for one minute. Taste the curry and add salt if needed. Serve and enjoy this Sri Lankan style simple spring onion flower recipe with grated coconut.",514.5,5.3,33.6,42.2,329.7
15,Sri Lankan Fish Sothi with Mango Recipe | Meen Sothi,"Cut the fish into your desired size pieces and wash it well. Take a green mango, wash it, and cut into small pieces. Take some curry leaves, slice the onions, slice the green chilies and keep it aside. Place the cooking pot on a stove. Add fish and mango. Then add sliced onions, green chilies, and curry leaves. Also, add turmeric powder and salt as you need. Add the thin coconut milk and mix it well. Now switch on the flame and close the pan with the lid. Cook covered under medium flame for about 10 minutes till the slices of mango turn to tender. Now take off the lid and add thick coconut milk. Stir the liquid frequently for 2 to 3 minutes. Taste the sothi and add salt if needed. This is how to make Sri Lankan fish sothi with mango recipe. Serve and enjoy this delicious fish dish.",1087.0,29.0,86.7,73.1,517.6
16,Ammikallu Red Coconut Sambol | Jaffna Traditional Pol Sambal,"Grate the coconut and peel off the skin of shallots. Besides, get ready with dried red chili, tamarind, sugar, salt, and water. Clean the grinding stone and roller. Firstly, add dried red chilies, salt, and a little water (About a teaspoon of water). Grind them to a smooth paste by moving the roller back and forth direction. Now, add tamarind, bash a bit using the roller, and take out the seeds carefully. Again move the roller back and forth direction for 1 or 2 minutes. Then, add sugar and move the roller until all combined. Add the grated coconut and move the roller back and forth direction until totally mixed. For me, it takes about 5 minutes. Finally, add the shallots and bash them a bit. Again move the roller back and forth direction until all combined. In the end, using your fingers take off all the coconut sambol. This is how to make the best and tasty Ammikallu Red coconut sambol recipe.",560.0,2.1,53.1,49.6,105.4
17,Green Bean Coconut Milk Curry | Sri Lankan Bonchi Recipe,"Take the green bean and wash it thoroughly. Cut them into 2-inch pieces. Chop the onions and slice the green chilies. Also, get ready with curry leaves, turmeric powder, and salt. Prepare 100ml of thick coconut milk. Also, get ready with 75ml of water. Heat the oil in a cooking pan and add the onion. Sauté it until it gets translucent. Then add green chilies and curry leaves. Stir and cook for a minute. Now add the sliced green bean, mix well, and cook covered under low flame for 2 or 3 minutes. Take off the lid. Add turmeric powder, salt, and water. Mix everything well. Cook covered under medium flame for 2 minutes. Take the lid off and add thick coconut milk. Mix well. Again cook covered under low flame for 2 minutes. Taste the curry and adjust salt if needed. This is how to make the best green bean coconut milk curry recipe. Serve and enjoy this delicious Sri Lankan bonchi curry.",1367.5,7.2,19.5,144.3,310.4
18,Sri Lankan Cabbage Potato Curry Recipe with Coconut Milk,"Rinse the cabbage and shred it into tiny pieces. Also, peel off the potato skin and cut it into small pieces. Additionally, chop the onion and green chili. Besides, prepare the coconut milk and get ready with curry leaves, turmeric powder, and salt. Now, place a large skillet on the stove and put the cabbage in it. On top of that, add potato, onion, green chili, curry leaves, turmeric powder, salt, and cooking oil. Give a good mix and switch on the flame. Cook covered under high flame for 7 minutes. Take off the lid, give a good stir, and again cook covered under medium flame until potato pieces turn tender. For me, it takes about 7 minutes. Now, add thick coconut milk and mix well. Cook covered under medium flame for 2 minutes. Taste the curry and adjust salt if needed. This is how to prepare the best Sri Lankan cabbage potato curry recipe. Serve and enjoy this simple cabbage potato milky curry.",578.5,10.4,38.8,45.8,317.6
19,Best Bitter Gourd Sambol Recipe | Pavakkai/Karawila Fried Salad,"Rinse the bitter gourd and cut it into thin round pieces. Take off the middle part along with the seeds. Also, chop the onions and green chilies. Besides, prepare the coconut milk and tamarind juice. Additionally, take sugar, turmeric powder, salt, and cooking oil. Add turmeric powder and salt to the bitter gourd. Mix those well until all combined. Heat the oil in a deep-fry pan and fry the bitter gourd pieces to a golden brown. For me, it takes about 10 minutes under high flame. Now take a large bowl and add onion, green chili, coconut milk, tamarind juice, sugar, and salt. Mix them well. Finally, add fried bitter gourd pieces and mix everything until totally combined. This is how to make the best bitter gourd sambol recipe. Serve and enjoy this Sri Lankan pavakkai or Karawila fried salad.",965.0,5.8,35.5,92.3,305.2
20,Sri Lankan Cassava Curry with Coconut Milk Recipe,"Take the cassava, peel off the skin, rinse well, and cut them into small pieces as shown in the picture below. Chop the onion and slice the green chili. Also, get ready with lime, curry leaves, turmeric powder, fenugreek seeds, and salt. Prepare the coconut milk and take some water. Now place the skillet on the stove and add cassava. On top of that, add turmeric powder, fenugreek seeds, salt, onion, green chili, and curry leaves. Mix them well. Cook covered under high flame for about 10 minutes. Take off the lid, give a good mix, and again cook covered under high flame till cassava turns tender. For me, it takes about 5 minutes. Using a spoon mash the cassava as shown in the picture below. Now add the coconut milk, mix well, and cook uncovered under medium flame for about a minute. Finally, switch off the flame and squeeze the lime. Give one last good mix. Taste the curry and adjust salt if needed. This is how to make the best Sri Lankan cassava curry with coconut milk. Serve and enjoy this simple tapioca milky curry.",911.5,23.2,118.1,46.3,254.9
21,Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,"Take the chickpeas and soak them overnight in the water. Then wash them thoroughly at least 2 or 3 times. Now add chickpeas, salt, and water in a pressure cooker and cook them until chickpeas turn tender. I leave them to cook until 8 whistles in the pressure cooker. Once done, leave the pressure cooker to remain covered until it comes to room temperature. Then open the lid and strain the water completely using a colander. Besides, slice the onion, dried red chilies, and curry leaves as shown in the picture below. Also, get ready with mustard seeds and cooking oil. Heat the oil and add mustard seeds. Let them splutter. Then add onion, dried red chili, and curry leaves. Sauté them till onion start turns to golden. Now add the boiled chickpeas and mix them well until all combined. This is how to make an easy Sri Lankan chickpea breakfast recipe. Serve and enjoy this simple vegan chickpeas salad with your friends and family.",1156.0,21.1,33.8,109.6,112.5
22,Best Sambar Recipe without Sambar Powder & Coconut Milk,"Clean and slice the potato, pumpkin, carrot, eggplant, tomato, drumstick, onion, garlic, green chili, dried red chili, and coriander leaves. Besides, rinse the dhal and prepare tamarind juice. Apart from that, get ready with water, curry leaves, turmeric powder, mustard seeds, curry powder, salt, and cooking oil. Heat the oil and add mustard seeds. Let them splutter. Then add onion, green chili, dried red chili, and curry leaves. Sauté them till the onion starts turn to golden. Now, add dhal, garlic, turmeric powder, salt, and water. Give a good mix. Cook covered under the high flame until dhal turns tender. For me, it takes about 20 minutes. Now, add potato, pumpkin, carrot, eggplant, tomato, drumstick, curry powder, and tamarind juice. Give a good mix. Cook covered under the high flame until all the vegetables, especially carrots and potatoes turn tender and soft. For me, it takes about 30 minutes. Taste the curry and adjust salt if needed. Finally, add the coriander leaves and give a good mix. This is how to make the best sambar recipe without sambar powder and coconut milk. Serve and enjoy this simple Sri Lankan mixed vegetable dish.",1263.5,25.4,55.2,111.4,598.7
23,Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,"Take the leftover steamed rice and add water in it. Cover and leave it overnight, at least 8 hours. On the next day morning, take the fermented leftover rice. Besides, chop the onions and green chilies. Apart from that, prepare the coconut milk and take the salt along with lime. Now, smash and squeeze the fermented leftover steamed rice using your fingers. Add onion, green chili, and salt. Again mix, smash, and squeeze everything using your fingers. Finally, add coconut milk and lime. Give one last good mix using a ladle. This is how to make the best Jaffna style pazhaya soru kanji recipe. Serve and enjoy this Sri Lankan healthy neeragaram dish.",677.5,13.0,13.8,67.7,104.3
24,Sri Lankan Style Fish Cutlet Recipe | Step by Step with Pictures,"Clean the fish pieces and add water, turmeric powder, and salt. Cook covered under the high flame until done with all the liquid or the fish fully boiled. For me, it takes about 8 minutes. Let the fish pieces cool down. Then carefully take off the flesh without any bones. Boil the potatoes, peel off the skin, and crush them with your fingers. Finely chop the onions, green chilies, and curry leaves. Also, finely crush the garlic and ginger. Get ready with the ground black pepper, salt, and lime. Take a large bowl and add the fish, potatoes, onions, green chilies, curry leaves, ginger, garlic, black pepper, and salt. Mix everything well until all combined. Finally, add lime juice and give one last good mix. Taste and adjust salt if needed. Now make the cutlets in any shape you want. Take an egg, add some salt and beat it well. Also, take the breadcrumbs. Soak the cutlet one by one in the beaten egg. Then coat the cutlet with breadcrumbs. Do the same process to all the cutlets. Heat the oil in a deep fry pan and fry the cutlets until it turns to a golden color. This is how to make the best Sri Lankan style fish cutlet recipe without tuna or canned fish or tin fish. Serve and enjoy this delicious Sri Lankan snack.",1227.4,19.7,91.0,95.3,748.9
25,Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,"Take the cashew and split them into half. Besides, take the Kesari powder, add a bit of water, and mix them well till dissolve completely. Apart from that, get ready with water, sugar, semolina/Rava, cardamom powder, raisins, and ghee. Place a non-stick skillet on the stove and add 4 tablespoons of ghee. Add the cashew and sauté them for 20 to 30 seconds. Then add raisins and sauté them for another 30 seconds. Take off the roasted cashews and raisins and leave them aside for final preparation. In the same skillet add another 2 tablespoons of ghee. Add semolina/Rava and toast them by stirring frequently under medium flame until Rava turns light brown. For me, it takes about 5 minutes. Once done, take them off and leave them aside. Now, in the same skillet add water and boil it under high flame until bubbles come. Once you see the bubbles turn the flame to low and add toasted semolina/Rava little by little while stir and mix without lumps. If you see any lumps add some water and make it smooth. For me, it takes about 2 minutes. Then add sugar little by little. Mix well till totally combined under low flame. For me, it takes about 2 minutes. Now add cardamom powder and Kesari powder liquid. Mix them well till totally combined under a very low flame. Finally, add another 4 tablespoons of ghee and mix them well under a very low flame. Take some roasted cashews and raisins for final decoration. Add the rest of the roasted cashews and raisins. Give one last good mix. Now put that in a flat non-stick tray and spread it evenly. Then place the roasted cashews and raisins. I used (L)33cm X (W)22cm tray. Once it comes to room temperature cut them into pieces. I cut them into (L)5cm X (W)3.5cm X (H)3cm pieces. This is how to make the best Rava Kesari recipe without milk. Serve and enjoy this Sri Lankan style easy sweet.",460.5,13.6,110.5,4.1,367.4
26,Make Jaffna Ash Plantain Curry Recipe | Vazhakkai Paal Curry,"Take the ash plantains and wash them well. Chop the onion and slice the green chilies. Also, get ready with lime, curry leaves, turmeric powder, and salt. Peel off the skin of the ash plantains and cut them into small pieces. Also, prepare the thin coconut milk and thick coconut milk. Now place the cooking wok on the stove. Add ash plantain, onion, green chili, curry leaves, salt, and turmeric powder. Also, add the thin coconut milk and mix them well. Now switch on the flame. Cook covered under high flame for 6 to 8 minutes. Take off the lid, give a good stir, and again cook covered under the high flame until all the liquid disappears. For me, it takes about 4 minutes. Now, mash the ash plantains using a spoon. Add the thick coconut milk, give a good mix, and switch off the flame. Finally, add the lime juice and give one last mix. Taste the curry and adjust salt if needed. This is how to make the Jaffna ash plantain curry at home. Serve and enjoy this delicious ash plantain milky curry.",593.5,10.7,44.1,45.9,276.0
27,Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,"Cut the onions by half. Get ready with curry leaves, salt, turmeric powder, garlic paste, and ginger paste. Take the whole country chicken and cut it into small or medium sized pieces. Rinse it well at least 2 or 3 times. Now add garlic paste, ginger paste, turmeric powder, and salt. Mix everything well and leave it to marinate for at least 30 minutes. Place the frying pan over the stove. Add curry leaves, coriander seeds, fennel seeds, cumin seeds, black pepper, dried red chilies, cardamom, and cinnamon. Switch on the flame and turn it to low. Stir constantly and dry roast everything for 2 or 3 minutes. Grind all the dry roasted spices together until you get a powder. Also, extract thin coconut milk from grated coconut. Heat the oil in a cooking pan and add onions and curry leaves. Sauté those until the onions get softened and translucent. Now add the marinated chicken pieces. Mix everything well and cook covered under the high flame for 5 to 7 minutes. Open the lid and mix everything well. Again cook covered under the high flame until all the water disappears. For me, it takes about 8 minutes. Take off the lid, stir occasionally, and cook uncovered under medium flame until the chicken pieces turn lightly browned. It may take about 7 minutes. Now add the ground spice powder and coconut milk. Mix everything well. Cook covered under very low flame for 8 to 10 minutes. In a halfway through open the lid and give a good stir/mix. Finally, take off the lid, taste the gravy, and adjust salt if needed. Serve and enjoy this Sri Lankan style simple and spicy country chicken curry recipe for rice.",1286.0,21.8,79.1,107.2,554.6
28,Easy Tomato Chutney Recipe for Dosa/Idli/Chapati/Paratha,"Slice the onion and tomato. Also, get ready with dried red chilies, curry leaves, mustard seeds, fennel seeds, and salt. Heat the oil in a cooking pan. Add ¼ teaspoon of mustard seeds and let it splutter. Now add the onions and fry them for one minute under high flame. Then add the curry leave and fry them for another one minute under high flame. Add dried red chilies and fennel seeds. Stir and fry them for one more minute under medium flame. Finally, add tomatoes and salt. Cook uncovered under medium flame for 6 to 8 minutes. Stir occasionally to avoid burning. Now switch off the flame and let the mixture cool down. Then, add the mixture to the food processor and grind it to the semi-smooth paste. Heat a little oil in the same cooking pan and add the rest of the mustard seeds. Let them splutter. Now add the ground mixture and mix them well. Switch off the flame and adjust salt if needed. This is how to make an easy tomato chutney recipe for dosa/idli/chapati/paratha. Serve and enjoy this red tomato chutney with your friends and family.",1005.0,13.0,30.3,98.7,217.5
29,Make Fish Samosa Recipe Without Peas (Easy & Tasty),"Take the fish, clean, and rinse well. Place them in the cooking pot. Add salt and turmeric powder. (Refer Note 1) Add the water and mix them well. Add the right amount of water to boil the fish completely. Switch on the flame. Cook covered under high flame until the fish boils and all the water disappears. For me, it takes about 8 minutes. Let the fish pieces to cool down. You may have to wait about 30 minutes. Now take off the flesh from each fish pieces. Carefully break the flesh without a single bone. Crush them with your fingers. Chop the onion, mince the garlic clove, chop the green chilies, and chop the curry leaves. (Refer Note 2 and Note 3) Get ready with curry powder, mustard seeds, salt, and lime. Chop the potatoes into small pieces. Heat the oil in a cooking pan and add mustard seeds. Let it splutter. Add the onion and cook until it gets translucent. Add 70% of the onion and keep the rest aside for final preparation. Now add the green chilies, curry leaves, and garlic. Stir and cook them for 2 minutes. Add the chopped potatoes. Mix and cook for 1 or 2 minutes. Stir occasionally. Now add the salt and little water. I used about 150ml of water. Mix everything well and cook covered under medium flame for 4 to 6 minutes. Now take off the lid and cook uncovered under medium flame until all the water disappears. You may have to stir constantly to avoid burn. For me, it takes about 1 minute. Now add the curry powder and crushed fish flesh. (Refer Note 2) Mix everything well and cook uncovered under low flame for 2 or 3 minutes. You may have to stir and mix occasionally. Switch off the flame. Add the rest of 30% chopped onion and lime. Mix everything well and taste the curry. Adjust salt and spices if needed. Now take the spring roll paper and cut them into three symmetric pieces as shown in the picture below. If you use 20 spring roll papers, you will get 60 sheets after cut them into symmetric pieces. I used two sheets for each samosa. Hence, I made 30 samosas. Make the samosas. Heat the oil in a deep fry pan and add samosas. Fry them until the outer layer gets light brown color. (Refer Note 4) This is the simple way to make fish samosa recipe. Serve and enjoy these delicious Sri Lankan style fish samosas without peas.",1489.5,33.4,100.5,118.4,743.9
