recipe_title,original_line,ingredient_name,quantity,unit
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),Water - 300ml,water - 300ml,1,piece
Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),Eggplant - 250g,eggplant - 250g,1,piece
Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),Water - 150ml,water - 150ml,1,piece
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Cumin seeds - ½ teaspoon,cumin seeds - ½ teaspoon,1,piece
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,Water - 200ml,water - 200ml,1,piece
Green Chilli Coconut Sambal (Pol Sambol) Recipe | KETO,Thick tamarind juice - 1 ½ tablespoon,thick tamarind juice - 1 ½ tablespoon,1,piece
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),=====For Curry=====,=====,1,piece
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Minced ginger - 1 tablespoon,ginger - 1 tablespoon,1,piece
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),=====For wrapper=====,=====,1,piece
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Water - 1750ml,water - 1750ml,1,piece
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),Breadcrumbs - 250g,breadcrumbs - 250g,1,piece
How to Make Apple Toffee | Unique Sri Lankan Sweet,Water - 12 tablespoons,water - 12 tablespoons,1,piece
How to Make Apple Toffee | Unique Sri Lankan Sweet,Ground cardamom - 1 ½ teaspoon,cardamom - 1 ½ teaspoon,1,piece
How to Make Apple Toffee | Unique Sri Lankan Sweet,Vanilla extract - 1 tablespoon,vanilla extract - 1 tablespoon,1,piece
How to Make Apple Toffee | Unique Sri Lankan Sweet,Food coloring - 1 teaspoon,food coloring - 1 teaspoon,1,piece
How to Make Apple Toffee | Unique Sri Lankan Sweet,Cloves - 100,cloves - 100,1,piece
Ammikallu Red Coconut Sambol | Jaffna Traditional Pol Sambal,Water - 1 or 2 teaspoons,water - 1 or 2 teaspoons,1,piece
Green Bean Coconut Milk Curry | Sri Lankan Bonchi Recipe,Water - 75ml,water - 75ml,1,piece
Sri Lankan Cabbage Potato Curry Recipe with Coconut Milk,Cabbage - 1kg,cabbage - 1kg,1,piece
Best Bitter Gourd Sambol Recipe | Pavakkai/Karawila Fried Salad,Very thick tamarind juice - 2 tablespoons,very thick tamarind juice - 2 tablespoons,1,piece
Sri Lankan Cassava Curry with Coconut Milk Recipe,Tapioca/Cassava - 1250g,tapioca/cassava - 1250g,1,piece
Sri Lankan Cassava Curry with Coconut Milk Recipe,Fenugreek seeds - ¼ teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
Sri Lankan Cassava Curry with Coconut Milk Recipe,Water - 600ml,water - 600ml,1,piece
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,Chickpeas - 250g,chickpeas - 250g,1,piece
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,Water - As needed,water - as needed,1,piece
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Best Sambar Recipe without Sambar Powder & Coconut Milk,Eggplant - 100g,eggplant - 100g,1,piece
Best Sambar Recipe without Sambar Powder & Coconut Milk,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Best Sambar Recipe without Sambar Powder & Coconut Milk,Thin tamarind juice - 200ml,thin tamarind juice - 200ml,1,piece
Best Sambar Recipe without Sambar Powder & Coconut Milk,Water - As you want (I used 2000ml),water - as you want i used 2000ml,1,piece
Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,Pazhaya soru/Leftover rice - 2 cups,pazhaya soru/leftover rice - 2 cups,1,piece
Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,Water - 500ml,water - 500ml,1,piece
Sri Lankan Style Fish Cutlet Recipe | Step by Step with Pictures,Crushed ginger - ½ tablespoon,crushed ginger - ½ tablespoon,1,piece
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,Semolina/Rava - 500g,semolina/rava - 500g,1,piece
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,Ghee - 10 tablespoons,ghee - 10 tablespoons,1,piece
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,Water - 1250ml,water - 1250ml,1,piece
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,Raisins - 50g,raisins - 50g,1,piece
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,Ginger paste -  1 teaspoon,ginger paste - 1 teaspoon,1,piece
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,Coriander seeds - 1 ½ tablespoon,coriander seeds - 1 ½ tablespoon,1,piece
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,Cumin seeds - ½ teaspoon,cumin seeds - ½ teaspoon,1,piece
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,Cardamom - 6 to 8,cardamom - 6 to 8,1,piece
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,Crushed cinnamon - ¾ tablespoon,crushed cinnamon - ¾ tablespoon,1,piece
Easy Tomato Chutney Recipe for Dosa/Idli/Chapati/Paratha,Mustard seeds - 1 teaspoon,mustard seeds - 1 teaspoon,1,piece
Make Fish Samosa Recipe Without Peas (Easy & Tasty),Spring roll paper - 20 sheets,spring roll paper - 20 sheets,1,piece
Make Fish Samosa Recipe Without Peas (Easy & Tasty),Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Make Fish Samosa Recipe Without Peas (Easy & Tasty),Water - As you wish,water - as you wish,1,piece
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,Noodles - 400g,noodles - 400g,1,piece
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,Cabbage - 100g,cabbage - 100g,1,piece
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,Soya meat - 30g (Optional),soya meat - 30g optional,1,piece
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,Ginger paste - ½ teaspoon,ginger paste - ½ teaspoon,1,piece
Make Mixed Vegetable Roti Recipe (Easy | Tasty | Vegan),Water - 400ml,water - 400ml,1,piece
Make Vegetable Fried Rice without Soy Sauce & Egg,Basmati rice - 350g,basmati rice - 350g,1,piece
Make Vegetable Fried Rice without Soy Sauce & Egg,Soy meat - 25g (Optional),soy meat - 25g optional,1,piece
Make Vegetable Fried Rice without Soy Sauce & Egg,Ginger paste - ¼ teaspoon,ginger paste - ¼ teaspoon,1,piece
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,Eggplant - 350g,eggplant - 350g,1,piece
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,Crushed cardamom - 2 to 4,crushed cardamom - 2 to 4,1,piece
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,Crushed cinnamon - ½ teaspoon,crushed cinnamon - ½ teaspoon,1,piece
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,Ginger paste - ¼ teaspoon,ginger paste - ¼ teaspoon,1,piece
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,Very thick tamarind juice - 2 tablespoons,very thick tamarind juice - 2 tablespoons,1,piece
Drumstick Leaves Stir Fry | Moringa Leaf Coconut Recipe,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,Soya meat packet - 90g,soya meat packet - 90g,1,piece
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,Water - 300ml,water - 300ml,1,piece
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,Thin tamarind Juice - 100ml,thin tamarind juice - 100ml,1,piece
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,Mustard Seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,Fenugreek Seeds - ¼ teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
Pennywort Salad Recipe with Carrot | Gotu Kola/Vallarai Sambal,Pennywort/Centella Asiatica/Gotu Kola/Vallarai - 50g,pennywort/centella asiatica/gotu kola/vallarai - 50g,1,piece
Simple Bitter Gourd Recipe Curry for Rice | Pavakkai Kulambu,Tamarind Juice - 100ml,tamarind juice - 100ml,1,piece
Simple Bitter Gourd Recipe Curry for Rice | Pavakkai Kulambu,Fenugreek Seeds - ¼ Teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
Simple Bitter Gourd Recipe Curry for Rice | Pavakkai Kulambu,Water - As you need,water - as you need,1,piece
Ponnanganni Keerai Varai With Grated Coconut | Alternanthera Sessilis Recipe,Ponnanganni keerai/Alternanthera sessilis - 125g,ponnanganni keerai/alternanthera sessilis - 125g,1,piece
Tasty & Spicy Beef Curry Recipe with Coconut & Tomato (KETO),Water - 250ml,water - 250ml,1,piece
Vegetable Kurakkan Noodles Recipe (Finger Millet),Kurakkan noodles - 1 packet (400g),kurakkan noodles - 1 packet 400g,1,piece
Vegetable Kurakkan Noodles Recipe (Finger Millet),Cabbage - 70g,cabbage - 70g,1,piece
Vegetable Kurakkan Noodles Recipe (Finger Millet),Crushed ginger - ¼ tablespoon,crushed ginger - ¼ tablespoon,1,piece
Vegetable Kurakkan Noodles Recipe (Finger Millet),Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Vegetable Kurakkan Noodles Recipe (Finger Millet),Maggi vegetable stock cube - 1 tablespoon,maggi vegetable stock cube - 1 tablespoon,1,piece
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,Fenugreek seeds - 1 teaspoon,fenugreek seeds - 1 teaspoon,1,piece
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,Thick tamarind juice - 50ml to 75ml,thick tamarind juice - 50ml to 75ml,1,piece
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,Basmati rice - 350g,basmati rice - 350g,1,piece
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,Cumin seeds - ½ teaspoon,cumin seeds - ½ teaspoon,1,piece
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,Coriander seeds - 1 teaspoon,coriander seeds - 1 teaspoon,1,piece
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,Cardamom - 6 to 8,cardamom - 6 to 8,1,piece
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,Crushed cinnamon - ½ tablespoon,crushed cinnamon - ½ tablespoon,1,piece
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,Split skinned black gram/Urad dal - 1 teaspoon,split skinned black gram/urad dal - 1 teaspoon,1,piece
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,Very thick tamarind juice - 1 ½ teaspoons,very thick tamarind juice - 1 ½ teaspoons,1,piece
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,Water - 100ml,water - 100ml,1,piece
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),Ingredients,ingredients,1,piece
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),Coriander seeds - 1 tablespoon,coriander seeds - 1 tablespoon,1,piece
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),Cumin seeds - 1 ½ teaspoons,cumin seeds - 1 ½ teaspoons,1,piece
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),Thin tamarind juice - 350ml,thin tamarind juice - 350ml,1,piece
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),Water - 350ml,water - 350ml,1,piece
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,Dal/Dhal/Parippu - 150g,dal/dhal/parippu - 150g,1,piece
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,Water 400ml,water 400ml,1,piece
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,Cumin seeds - 2 pinches,cumin seeds - 2 pinches,1,piece
How to Make Vegetable Rava Upma | Easy & Healthy Breakfast,Toasted Semolina/Sooji/Rava - 250g,toasted semolina/sooji/rava - 250g,1,piece
How to Make Vegetable Rava Upma | Easy & Healthy Breakfast,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Spicy Banana Pepper Curry Recipe | Kari Milagai Puli Kuzhambu,Thick tamarind juice - 50ml,thick tamarind juice - 50ml,1,piece
Spicy Banana Pepper Curry Recipe | Kari Milagai Puli Kuzhambu,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
How To Make Tapioca Curry Spicy (Cassava/Manioc/Maravalli Kizhangu),Tapioca/Cassava/Manioc - 500g,tapioca/cassava/manioc - 500g,1,piece
How To Make Tapioca Curry Spicy (Cassava/Manioc/Maravalli Kizhangu),Tamarind juice - 50ml,tamarind juice - 50ml,1,piece
How To Make Tapioca Curry Spicy (Cassava/Manioc/Maravalli Kizhangu),Water - 250ml,water - 250ml,1,piece
Okra Tomato Coconut Curry | Easy Lady’s Finger Milk Curry Recipe,Okra/Ladies finger - 125g,okra/ladies finger - 125g,1,piece
Easy Fish Head Curry Spicy Recipe without Oil,Thin tamarind juice - 200ml,thin tamarind juice - 200ml,1,piece
Easy Fish Head Curry Spicy Recipe without Oil,Fenugreek seeds - ¼ teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
Radish Curry Sri Lankan Recipe | Mullangi Curry for Rice,Radish - 150g,radish - 150g,1,piece
Easy Idli Dosa Batter (How To Make Idli & Dosa With Same Batter Homemade),Split skinned black gram/Urad dal - 250g,split skinned black gram/urad dal - 250g,1,piece
Easy Idli Dosa Batter (How To Make Idli & Dosa With Same Batter Homemade),Idli rice/Parboiled rice - 750g,idli rice/parboiled rice - 750g,1,piece
Easy Idli Dosa Batter (How To Make Idli & Dosa With Same Batter Homemade),Water - As you need,water - as you need,1,piece
Green Moong Dal Recipe With Coconut | Green Gram Curry For Chapathi (Payaru),Water - 400ml + 100ml,water - 400ml + 100ml,1,piece
Green Moong Dal Recipe With Coconut | Green Gram Curry For Chapathi (Payaru),Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,Dal/Dhal - 100g,dal/dhal - 100g,1,piece
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,Cumin seeds - ¼ teaspoon,cumin seeds - ¼ teaspoon,1,piece
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,Water - 350ml,water - 350ml,1,piece
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),Split skinned black gram/Urad dal - 250g,split skinned black gram/urad dal - 250g,1,piece
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),Cold water - 30ml to 50ml,cold water - 30ml to 50ml,1,piece
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),Water - As you need,water - as you need,1,piece
Spicy Eggplant Tomato Curry Coconut Milk | KETO,Eggplant - 250g,eggplant - 250g,1,piece
Spicy Eggplant Tomato Curry Coconut Milk | KETO,Semi-thick tamarind juice - 50ml,semi-thick tamarind juice - 50ml,1,piece
Spicy Eggplant Tomato Curry Coconut Milk | KETO,Fenugreek seeds - ¼ teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
Make Potato Curry for Poori/Chapati Sri Lankan Style,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Make Potato Curry for Poori/Chapati Sri Lankan Style,Water - 250ml,water - 250ml,1,piece
Healthy Fish Curry without Oil & Red Chili | Easy Recipe,Cumin seeds/powder - ¼ teaspoon,cumin seeds/powder - ¼ teaspoon,1,piece
Healthy Fish Curry without Oil & Red Chili | Easy Recipe,Coriander seeds - ½ tablespoon,coriander seeds - ½ tablespoon,1,piece
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Cumin seeds - ¼ teaspoon,cumin seeds - ¼ teaspoon,1,piece
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Fenugreek seeds - ¼ teaspoon,fenugreek seeds - ¼ teaspoon,1,piece
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Coriander seeds - 1 tablespoon,coriander seeds - 1 tablespoon,1,piece
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Thick tamarind juice - 150ml,thick tamarind juice - 150ml,1,piece
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,Water - 550ml to 650ml,water - 550ml to 650ml,1,piece
Spicy Elephant Foot Yam Curry Recipe | Karunai Kizhangu,Thin tamarind juice - 100ml,thin tamarind juice - 100ml,1,piece
Spicy Elephant Foot Yam Curry Recipe | Karunai Kizhangu,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Make Simple Banana Flower Recipe | Vazhaipoo Fry | KETO,Banana flower - 500g,banana flower - 500g,1,piece
Make Simple Banana Flower Recipe | Vazhaipoo Fry | KETO,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,Cumin seeds - ¼ teaspoon,cumin seeds - ¼ teaspoon,1,piece
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,Tamarind juice - 100ml,tamarind juice - 100ml,1,piece
Unique Ash Plantain Fry Dish | Vazhakkai Sambal | Jaffna,Vinegar - 2 tablespoons,vinegar - 2 tablespoons,1,piece
Unique Ash Plantain Fry Dish | Vazhakkai Sambal | Jaffna,Mustard seeds - 1 teaspoon,mustard seeds - 1 teaspoon,1,piece
Make Seeni Sambol Recipe | Sri Lankan | Quick & Easy,Thin tamarind juice - 100ml,thin tamarind juice - 100ml,1,piece
Simple Cabbage Stir Fry Recipe with Coconut Step by Step,Cabbage - 250g,cabbage - 250g,1,piece
Simple Cabbage Stir Fry Recipe with Coconut Step by Step,Cumin seeds - ¼ teaspoon,cumin seeds - ¼ teaspoon,1,piece
Simple Cabbage Stir Fry Recipe with Coconut Step by Step,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Fenugreek Seed Curry Recipe | Vendhaya Kuzhambu with Coconut,Fenugreek seeds - 1 ½ tablespoon,fenugreek seeds - 1 ½ tablespoon,1,piece
Fenugreek Seed Curry Recipe | Vendhaya Kuzhambu with Coconut,Tamarind juice - 50ml,tamarind juice - 50ml,1,piece
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,Cumin seeds - ¼ teaspoon,cumin seeds - ¼ teaspoon,1,piece
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,Fenugreek seeds - ½ teaspoon,fenugreek seeds - ½ teaspoon,1,piece
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,Thin tamarind juice - 150ml,thin tamarind juice - 150ml,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,-----For Shrimp-----,-----,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Shrimp/Prawn - 250g (after clean),shrimp/prawn - 250g after clean,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Ginger paste - ½ teaspoon,ginger paste - ½ teaspoon,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Semi thick tamarind juice - 2 tablespoons,semi thick tamarind juice - 2 tablespoons,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Water - 100ml,water - 100ml,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,-----For Coating Batter-----,-----,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Cornstarch - 2 tablespoons,cornstarch - 2 tablespoons,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Ginger paste - ½ teaspoon,ginger paste - ½ teaspoon,1,piece
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,Water - 150ml,water - 150ml,1,piece
Easy Sri Lankan Roasted Curry Powder Recipe Homemade,Coriander seeds - 400g,coriander seeds - 400g,1,piece
Easy Sri Lankan Roasted Curry Powder Recipe Homemade,Cumin seeds - 60g,cumin seeds - 60g,1,piece
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",Cumin seeds - ¾ teaspoon,cumin seeds - ¾ teaspoon,1,piece
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",Cardamom - 10 to 12,cardamom - 10 to 12,1,piece
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",Cinnamon - 1 ½ tablespoon,cinnamon - 1 ½ tablespoon,1,piece
Best Masala Dosa Filling Recipe | Spicy | Homemade,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Simple Nutella Brownie Recipe with 4 Ingredients (No Butter),Nutella - 400g,nutella - 400g,1,piece
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,Cumin seeds - ¼ teaspoon,cumin seeds - ¼ teaspoon,1,piece
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,Cardamom - 3 to 5,cardamom - 3 to 5,1,piece
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,Crushed cinnamon - ¾ teaspoon,crushed cinnamon - ¾ teaspoon,1,piece
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,Coriander seeds - ½ teaspoon,coriander seeds - ½ teaspoon,1,piece
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Sri Lankan Spinach Curry Recipe | Keerai Curry | KETO,Spinach - 2 bunches (about 1kg after clean),spinach - 2 bunches about 1kg after clean,1,piece
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,Ginger paste - ½ tablespoon,ginger paste - ½ tablespoon,1,piece
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,Cardamom - 4,cardamom - 4,1,piece
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,Crushed cinnamon - ½ tablespoon,crushed cinnamon - ½ tablespoon,1,piece
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,Mustard seeds - ½ teaspoon,mustard seeds - ½ teaspoon,1,piece
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,Water - 500ml,water - 500ml,1,piece
Best Deviled Chicken Recipe Sri Lankan (Simple & Tasty),Ginger paste - ½ tablespoon,ginger paste - ½ tablespoon,1,piece
Best Deviled Chicken Recipe Sri Lankan (Simple & Tasty),Minced ginger - ¾ tablespoon,ginger - ¾ tablespoon,1,piece
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,Chopped ginger - 1 tablespoon,ginger - 1 tablespoon,1,piece
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,Mustard seeds - ¼ teaspoon,mustard seeds - ¼ teaspoon,1,piece
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,Cardamom - 4 or 5,cardamom - 4 or 5,1,piece
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,Crushed cinnamon - ½ tablespoon,crushed cinnamon - ½ tablespoon,1,piece
How to Cook Raw Shrimp with Shell on? | KETO Spicy Prawn Curry,Shrimp - 250g,shrimp - 250g,1,piece
How to Cook Raw Shrimp with Shell on? | KETO Spicy Prawn Curry,Fenugreek seeds - ¾ teaspoon,fenugreek seeds - ¾ teaspoon,1,piece
How to Cook Raw Shrimp with Shell on? | KETO Spicy Prawn Curry,Thin tamarind juice - 100ml,thin tamarind juice - 100ml,1,piece
How to Cook Mutton Blood Fry? | Goat Blood Poriyal Jaffna,Mustard seeds - 1 teaspoon,mustard seeds - 1 teaspoon,1,piece
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,Noodle - 400g,noodle - 400g,1,piece
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,Prawn/Shrimp - 300g (After clean),prawn/shrimp - 300g after clean,1,piece
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,Cabbage - 75g,cabbage - 75g,1,piece
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,Ginger paste - 1 teaspoon,ginger paste - 1 teaspoon,1,piece
