recipe_id,ingredient,unit,quantity,seasonality,seasonality_confidence
5,Tomato - 30g,,,Inter_Monsoon,0.31
5,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
5,Fenugreek seeds - ¼ teaspoon,,,Dry_Season,0.3
5,Onion - 6g,,,Year_Round,0.69
5,Curry leaves - Few,,,Year_Round,0.59
5,Green chili - 3/5 or 4,,,Year_Round,0.8
5,Lime - ½,,,Dry_Season,0.56
5,Thin coconut milk - 70ml,,,Dry_Season,0.45
5,Thick coconut milk - 40ml,,,Dry_Season,0.45
5,Salt - As you wish,,,Dry_Season,0.3
6,Eggplant - 66 2/3g,,,Dry_Season,0.3
6,Potato - 66 2/3g,,,Northeast_Monsoon,0.38
6,Tomato - 33 1/3g,,,Inter_Monsoon,0.27
6,Banana pepper - 16 2/3g,,,Inter_Monsoon,0.47
6,Onion - 25g,,,Year_Round,0.67
6,Garlic - 1 or 7,,,Year_Round,0.63
6,Curry powder - 1/2 tablespoons,,,Year_Round,0.62
6,Fenugreek seeds - ½ teaspoon,,,Dry_Season,0.3
6,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
6,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
6,Thick coconut milk - 16 2/3ml,,,Dry_Season,0.45
6,Thin coconut milk - 100ml,,,Dry_Season,0.45
6,Thin tamarind juice - 33 1/3ml,,,Dry_Season,0.53
6,Curry leaves - Few,,,Year_Round,0.59
6,Salt - As you want,,,Dry_Season,0.3
6,Cooking oil - As you want,,,Dry_Season,0.3
7,Shallots/Small Onion - 500g (After peel),,,Year_Round,0.64
7,Carrot - 200g,,,Northeast_Monsoon,0.6
7,Butter Bonchi - 200g,,,Dry_Season,0.3
7,Banana Pepper - 150g,,,Inter_Monsoon,0.47
7,Dates - 200g,,,Inter_Monsoon,0.33
7,Green chili - 100g,,,Year_Round,0.8
7,Garlic cloves - 7 or 8,,,Year_Round,0.63
7,Ginger - Medium size (About the size of 2 garlic cloves),,,Year_Round,0.65
7,Mustard seeds - 50g,,,Dry_Season,0.3
7,Sugar - 50g,,,Inter_Monsoon,0.37
7,Dried red chili - 30g,,,Year_Round,0.73
7,Vinegar - 300ml,,,Dry_Season,0.3
7,Salt - As you want,,,Dry_Season,0.3
8,Agathi keerai - 18 3/4g,,,Dry_Season,0.3
8,Onion - 18 3/4g,,,Year_Round,0.64
8,Green chili - 3/4 or 4,,,Year_Round,0.8
8,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
8,Semi thick coconut milk - 125ml,,,Dry_Season,0.45
8,Thick tamarind juice - 12 1/2ml,,,Dry_Season,0.53
8,Water - 75ml,,,Inter_Monsoon,0.33
8,Salt - As you want (KETO people use the Himalayan Pink Salt),,,Inter_Monsoon,0.33
9,Eggplant - 125g,,,Dry_Season,0.3
9,Thick coconut milk - 50ml,,,Dry_Season,0.45
9,Water - 75ml,,,Inter_Monsoon,0.33
9,Onion - 12 1/2g,,,Year_Round,0.64
9,Green chili - 1 or 3,,,Year_Round,0.8
9,Garlic clove - 1/2 or 2,,,Year_Round,0.63
9,Curry leaves - Few,,,Year_Round,0.59
9,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
9,Salt - As you need,,,Dry_Season,0.3
10,Pumpkin - 1/8kg,,,Inter_Monsoon,0.44
10,Onion - 12 1/2g,,,Year_Round,0.64
10,Green chili - 1/4 or 3,,,Year_Round,0.8
10,Dried red chili - 1/4 or 3,,,Year_Round,0.73
10,Garlic clove - 3/8 or 4,,,Year_Round,0.63
10,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
10,Cumin seeds - ½ teaspoon,,,Dry_Season,0.3
10,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
10,Black Pepper - ½ teaspoon,,,Inter_Monsoon,0.33
10,Thick coconut milk - 18 3/4ml,,,Dry_Season,0.45
10,Water - 25ml,,,Inter_Monsoon,0.33
10,Curry leaves - Few,,,Year_Round,0.59
10,Salt - As you want,,,Dry_Season,0.3
10,Cooking oil - As you want,,,Dry_Season,0.3
11,Grated coconut - 50g,,,Dry_Season,0.45
11,Onion - 12 1/2g,,,Year_Round,0.64
11,Green chili - 2 1/2 to 12,,,Year_Round,0.8
11,Thick tamarind juice - 1/4 ½ tablespoon,,,Dry_Season,0.53
11,Sugar - ½ teaspoon,,,Dry_Season,0.3
11,Salt - As you need (KETO people use the Himalayan Pink Salt),,,Inter_Monsoon,0.33
12,=====For Curry=====,,,Year_Round,0.62
12,Boneless mutton - 14 2/7g,,,Dry_Season,0.3
12,Potato - 14 2/7g,,,Northeast_Monsoon,0.38
12,Onion - 7 1/7g,,,Year_Round,0.64
12,Green chili - 1/7 or 6,,,Year_Round,0.8
12,Curry leaves - Few,,,Year_Round,0.59
12,Minced ginger - 0.03 tablespoon,,,Year_Round,0.64
12,Curry powder - 1/12 tablespoon,,,Year_Round,0.62
12,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
12,Lime - ½,,,Dry_Season,0.56
12,Salt - As you need,,,Dry_Season,0.3
12,Cooking oil - As you need,,,Dry_Season,0.3
12,=====For wrapper=====,,,Dry_Season,0.3
12,All-purpose flour - 28 4/7g,,,Dry_Season,0.3
12,Water - 50ml,,,Inter_Monsoon,0.33
12,Breadcrumbs - 7 1/7g,,,Dry_Season,0.3
12,Salt - as you want,,,Dry_Season,0.3
13,Full cream milk powder - 5 1/3g,,,Dry_Season,0.3
13,Sugar - 3 1/3g,,,Dry_Season,0.3
13,Butter - 0.03 tablespoons,,,Dry_Season,0.3
13,Grated coconut - 1/13 tablespoons,,,Dry_Season,0.45
13,Water - 2/13 tablespoons,,,Dry_Season,0.3
13,Ground cardamom - 0.01 ½ teaspoon,,,Dry_Season,0.3
13,Vanilla extract - 0.01 tablespoon,,,Dry_Season,0.3
13,Food coloring - 0.01 teaspoon,,,Dry_Season,0.3
13,Cloves - 1 1/3,,,Dry_Season,0.3
14,Spring onion flower - 83 1/3g,,,Year_Round,0.64
14,Grated coconut - 2/3 tablespoons,,,Dry_Season,0.45
14,Onion - 13 1/3g,,,Year_Round,0.64
14,Green chili - 2/3 or 3,,,Year_Round,0.8
14,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
14,Salt - As you wish,,,Dry_Season,0.3
14,Cooking oil - 1/3 tablespoon,,,Dry_Season,0.3
15,Fish - 2 or 5 pieces (Recommend to use fish head parts),,,Dry_Season,0.3
15,Mango - 1/2 (Medium Size),,,Dry_Season,0.75
15,Onion - 25g,,,Year_Round,0.67
15,Green chili - 1 or 3,,,Year_Round,0.8
15,Curry leaves - Few,,,Year_Round,0.59
15,Salt - As you need,,,Dry_Season,0.3
15,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
15,Thin coconut milk - 125ml,,,Dry_Season,0.45
15,Thick coconut milk - 50ml,,,Dry_Season,0.45
16,Grated coconut - 3 full tablespoons,,,Dry_Season,0.45
16,Dried red chili - 3 to 8,,,Year_Round,0.73
16,Shallot/Small onion - 25g,,,Year_Round,0.64
16,Tamarind - Small portion with 1 1/2 or 4 seeds,,,Dry_Season,0.53
16,Sugar - ½ teaspoon,,,Dry_Season,0.3
16,Salt - As you want,,,Dry_Season,0.3
16,Water - 1/2 or 2 teaspoons,,,Dry_Season,0.3
17,Green Bean/Bonchi - 75g,,,Southwest_Monsoon,0.45
17,Onion - 25g,,,Year_Round,0.67
17,Green chili - 1 or 3,,,Year_Round,0.8
17,Turmeric powder - Less than ¼ teaspoon,,,Dry_Season,0.3
17,Water - 37 1/2ml,,,Dry_Season,0.3
17,Thick coconut milk - 50ml,,,Dry_Season,0.45
17,Curry leaves - Few,,,Year_Round,0.59
17,Cooking oil - As you need,,,Dry_Season,0.3
17,Salt - As you need,,,Dry_Season,0.3
18,Cabbage - 1/8kg,,,Southwest_Monsoon,0.41
18,Potato - 31 1/4g,,,Northeast_Monsoon,0.38
18,Onion - 18 3/4g,,,Year_Round,0.64
18,Green chili - 3/8 or 4,,,Year_Round,0.8
18,Curry leaves - Few,,,Year_Round,0.59
18,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
18,Salt - As you want,,,Dry_Season,0.3
18,Thick coconut milk - 31 1/4ml,,,Dry_Season,0.45
18,Cooking oil - 1/4 tablespoons,,,Dry_Season,0.3
19,Bitter Gourd - 100g,,,Inter_Monsoon,0.91
19,Onion - 41 2/3g,,,Year_Round,0.64
19,Green chili - 5/6 or 6,,,Year_Round,0.8
19,Thick coconut milk - 2/3 tablespoons,,,Dry_Season,0.45
19,Very thick tamarind juice - 1/3 tablespoons,,,Dry_Season,0.53
19,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
19,Sugar - 1/6 teaspoon,,,Dry_Season,0.3
19,Salt - As you want,,,Dry_Season,0.3
19,Cooking oil - As you want,,,Dry_Season,0.3
20,Tapioca/Cassava - 208 1/3g,,,Northeast_Monsoon,0.59
20,Onion - 20 5/6g,,,Year_Round,0.64
20,Green chili - 1/2 or 4,,,Year_Round,0.8
20,Lime - ½,,,Dry_Season,0.56
20,Fenugreek seeds - ¼ teaspoon,,,Dry_Season,0.3
20,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
20,Curry leaves - Few,,,Year_Round,0.59
20,Salt - As you want,,,Dry_Season,0.3
20,Thick coconut milk - 33 1/3ml,,,Dry_Season,0.45
20,Water - 100ml,,,Dry_Season,0.3
21,Chickpeas - 83 1/3g,,,Dry_Season,0.3
21,Water - As needed,,,Dry_Season,0.3
21,Onion - 50g,,,Year_Round,0.67
21,Dried red chili - 2/3 or 3,,,Year_Round,0.73
21,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
21,Salt - As you want,,,Dry_Season,0.3
21,Curry leaves - Few,,,Year_Round,0.59
21,Cooking oil - As you want,,,Dry_Season,0.3
22,Potato - 16 2/3g,,,Northeast_Monsoon,0.38
22,Pumpkin - 16 2/3g,,,Inter_Monsoon,0.44
22,Carrot - 16 2/3g,,,Northeast_Monsoon,0.6
22,Eggplant - 16 2/3g,,,Dry_Season,0.3
22,Tomato - 16 2/3g,,,Inter_Monsoon,0.27
22,Drumstick - 16 2/3g,,,Inter_Monsoon,0.79
22,Onion - 16 2/3g,,,Year_Round,0.64
22,Dhal - 33 1/3g,,,Year_Round,0.66
22,Coriander leaves - As you need,,,Year_Round,0.33
22,Green chili - 1/3 or 3,,,Year_Round,0.8
22,Dried red chili - 1/3 or 3,,,Year_Round,0.73
22,Garlic clove - 1/2 or 4,,,Year_Round,0.63
22,Curry leaves - Few,,,Year_Round,0.59
22,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
22,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
22,Curry powder - 1/6 tablespoon,,,Year_Round,0.62
22,Thin tamarind juice - 33 1/3ml,,,Dry_Season,0.53
22,Water - As you want (I used 333 1/3ml),,,Dry_Season,0.3
22,Salt - As you need,,,Dry_Season,0.3
22,Cooking oil - As you need,,,Dry_Season,0.3
23,Pazhaya soru/Leftover rice - 2/3 cups,,,Year_Round,0.54
23,Water - 166 2/3ml,,,Dry_Season,0.3
23,Semi thick coconut milk - 116 2/3ml,,,Dry_Season,0.45
23,Onion (Shallots) - 33 1/3g,,,Year_Round,0.64
23,Green chili - 2/3,,,Year_Round,0.8
23,Lime - ½,,,Dry_Season,0.56
23,Salt - As you want,,,Dry_Season,0.3
24,Fish pieces - 12 1/2g,,,Dry_Season,0.3
24,Potatoes - 17 1/2g,,,Dry_Season,0.3
24,Finely chopped onion - 2 1/2 to 75g,,,Year_Round,0.64
24,Crushed ginger - ½ tablespoon,,,Year_Round,0.64
24,Crushed garlic - 0.05 tablespoon,,,Year_Round,0.63
24,Green chili - 1/5 or 5,,,Year_Round,0.8
24,Chopped curry leaves - 1/10 sprigs,,,Year_Round,0.59
24,Grounded black pepper - 0.05 ½ teaspoon,,,Inter_Monsoon,0.33
24,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
24,Egg - 0.05,,,Inter_Monsoon,0.35
24,Bread crumbs - 5g,,,Dry_Season,0.3
24,Salt - As you need,,,Dry_Season,0.3
24,Cooking oil - As you need,,,Dry_Season,0.3
24,Lime - ½,,,Dry_Season,0.56
25,Semolina/Rava - 17 6/7g,,,Dry_Season,0.3
25,Sugar - 23 3/14g,,,Dry_Season,0.3
25,Ghee - 5/14 tablespoons,,,Dry_Season,0.3
25,Water - 44 9/14ml,,,Dry_Season,0.3
25,Kesari powder - 0.04 teaspoon,,,Dry_Season,0.3
25,Cardamom powder - 0.04 teaspoon,,,Dry_Season,0.3
25,Cashew nuts - 1 11/14g,,,Dry_Season,0.78
25,Raisins - 1 11/14g,,,Dry_Season,0.3
26,Ash plantain - 133 1/3g,,,Dry_Season,0.3
26,Onion - 16 2/3g,,,Year_Round,0.64
26,Thin coconut milk - 66 2/3ml,,,Dry_Season,0.45
26,Thick coconut milk - 33 1/3ml,,,Dry_Season,0.45
26,Green chili - 1 1/3 or 5,,,Year_Round,0.8
26,Lime - ½,,,Dry_Season,0.56
26,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
26,Curry leaves - Few,,,Year_Round,0.59
26,Salt - As you need,,,Dry_Season,0.3
27,Country chicken - 1/5kg (After peeling off the skin),,,Dry_Season,0.3
27,Onion - 20g,,,Year_Round,0.67
27,Garlic paste - 1/5 tablespoon,,,Year_Round,0.63
27,Ginger paste - 1/5 teaspoon,,,Year_Round,0.64
27,Turmeric powder - ¾ teaspoon,,,Dry_Season,0.3
27,Coriander seeds - 1/5 ½ tablespoon,,,Year_Round,0.37
27,Fennel seeds - 1/5 tablespoon,,,Dry_Season,0.3
27,Cumin seeds - ½ teaspoon,,,Dry_Season,0.3
27,Black pepper - 1/5 tablespoon,,,Inter_Monsoon,0.33
27,Dried red chili - 4 to 25 (About 30g),,,Year_Round,0.73
27,Cardamom - 1 1/5 to 8,,,Dry_Season,0.3
27,Crushed cinnamon - ¾ tablespoon,,,Dry_Season,0.3
27,Thin coconut milk - 80ml,,,Dry_Season,0.45
27,Salt - As you need,,,Dry_Season,0.3
27,Curry leaves - Few,,,Year_Round,0.59
27,Cooking oil - As you need,,,Dry_Season,0.3
28,Tomato - 116 2/3g,,,Inter_Monsoon,0.27
28,Onion - 33 1/3g,,,Year_Round,0.64
28,Dried red chili - 1 2/3 or 6,,,Year_Round,0.73
28,Curry leaves - Few,,,Year_Round,0.59
28,Mustard seeds - 1/3 teaspoon,,,Dry_Season,0.3
28,Fennel seeds - ¼ teaspoon,,,Dry_Season,0.3
28,Salt - As you need,,,Dry_Season,0.3
28,Cooking oil - As you need,,,Dry_Season,0.3
29,Fish - 6 2/3g (Flesh only after boiled),,,Dry_Season,0.3
29,Spring roll paper - 2/3 sheets,,,Dry_Season,0.3
29,Potato - 16 2/3g,,,Northeast_Monsoon,0.38
29,Onion - 5g,,,Year_Round,0.69
29,Green chili - 1/6 to 7,,,Year_Round,0.8
29,Garlic clove - 2/15 to 6,,,Year_Round,0.63
29,Curry leaves - Few,,,Year_Round,0.59
29,Curry powder - 0.03 tablespoon,,,Year_Round,0.62
29,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
29,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
29,Lime - ½,,,Dry_Season,0.56
29,Salt - As you wish,,,Dry_Season,0.3
29,Water - As you wish,,,Dry_Season,0.3
29,Cooking oil - As you wish,,,Dry_Season,0.3
30,Noodles - 100g,,,Dry_Season,0.3
30,Cabbage - 25g,,,Southwest_Monsoon,0.41
30,Carrot - 31 1/4g,,,Northeast_Monsoon,0.6
30,Banana pepper - 12 1/2g,,,Inter_Monsoon,0.47
30,Leeks - 25g,,,Northeast_Monsoon,0.59
30,Onion - 37 1/2g,,,Year_Round,0.64
30,Soya meat - 30g (Optional),,,Dry_Season,0.3
30,Curry leaves - 1/2 sprigs,,,Year_Round,0.59
30,Ginger paste - ½ teaspoon,,,Year_Round,0.64
30,Garlic paste - 1/4 teaspoon,,,Year_Round,0.63
30,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
30,Salt - As you want,,,Dry_Season,0.3
30,Cooking oil - As you need,,,Dry_Season,0.3
31,All-purpose flour - 1/15kg,,,Dry_Season,0.3
31,Green bean - 2 2/3g,,,Southwest_Monsoon,0.45
31,Carrot - 3 1/3g,,,Northeast_Monsoon,0.6
31,Leeks - 3 1/3g,,,Northeast_Monsoon,0.59
31,Green chili - 3 1/3g,,,Year_Round,0.8
31,Onion - 11 2/3g,,,Year_Round,0.64
31,Grated coconut - 13 1/3g,,,Dry_Season,0.45
31,Baking powder - 1/15 teaspoon,,,Dry_Season,0.3
31,Sugar - 1/15 tablespoon,,,Dry_Season,0.3
31,Salt - As you wish,,,Dry_Season,0.3
31,Water - 26 2/3ml,,,Dry_Season,0.3
31,Cooking oil - 4/15 tablespoons,,,Dry_Season,0.3
32,Beetroot - 83 1/3g (After pealing of the skin),,,Northeast_Monsoon,0.69
32,Onion - 16 2/3g,,,Year_Round,0.64
32,Green chili - 2/3 to 4,,,Year_Round,0.8
32,Thin coconut milk - 50ml,,,Dry_Season,0.45
32,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
32,Salt - As you want,,,Dry_Season,0.3
32,Curry leaves - Few,,,Year_Round,0.59
32,Cooking oil - 2/3 tablespoons,,,Dry_Season,0.3
33,Snake gourd - 116 2/3g,,,Inter_Monsoon,0.75
33,Thick coconut milk - 58 1/3ml,,,Dry_Season,0.45
33,Onion - 16 2/3g,,,Year_Round,0.64
33,Green chili - 2/3 or 3,,,Year_Round,0.8
33,Curry leaves - Few,,,Year_Round,0.59
33,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
33,Salt - As you wish,,,Dry_Season,0.3
33,Cooking oil - 2/3 tablespoons,,,Dry_Season,0.3
34,Basmati rice - 87 1/2g,,,Year_Round,0.54
34,Soy meat - 25g (Optional),,,Dry_Season,0.3
34,Carrot - 25g,,,Northeast_Monsoon,0.63
34,Leeks - 18 3/4g,,,Northeast_Monsoon,0.59
34,Green bean - 18 3/4g,,,Southwest_Monsoon,0.45
34,Onion - 31 1/4g,,,Year_Round,0.64
34,Garlic paste - 1/4 teaspoon,,,Year_Round,0.63
34,Ginger paste - ¼ teaspoon,,,Year_Round,0.64
34,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
34,Curry leaves - 1/2 sprigs,,,Year_Round,0.59
34,Salt - As you wish,,,Dry_Season,0.3
34,Cooking oil - As you wish,,,Dry_Season,0.3
35,Eggplant - 116 2/3g,,,Dry_Season,0.3
35,Onion - 16 2/3g,,,Year_Round,0.64
35,Sugar - 1/3 ¼ tablespoon,,,Dry_Season,0.3
35,Crushed cardamom - 2/3 to 4,,,Dry_Season,0.3
35,Crushed cinnamon - ½ teaspoon,,,Dry_Season,0.3
35,Ginger paste - ¼ teaspoon,,,Year_Round,0.64
35,Garlic paste - ½ teaspoon,,,Year_Round,0.63
35,Chili powder - 1/3 teaspoon,,,Year_Round,0.69
35,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
35,Thick coconut milk - 3 1/3 tablespoons,,,Dry_Season,0.45
35,Very thick tamarind juice - 2/3 tablespoons,,,Dry_Season,0.53
35,Salt - As you wish,,,Dry_Season,0.3
35,Cooking oil - As you need,,,Dry_Season,0.3
36,Drumstick leaves - 50g,,,Inter_Monsoon,0.73
36,Grated coconut - 1 1/2 tablespoons,,,Dry_Season,0.45
36,Onion - 25g,,,Year_Round,0.67
36,Green chili - 1/2 or 2,,,Year_Round,0.8
36,Dried red chili - 1/2 or 2,,,Year_Round,0.73
36,Mustard seeds - ¼ teaspoon,,,Dry_Season,0.3
36,Turmeric powder - 1 Pinches,,,Dry_Season,0.3
36,Cooking oil - 1/2 tablespoon,,,Dry_Season,0.3
36,Salt - As you wish,,,Dry_Season,0.3
37,Soya meat packet - 30g,,,Dry_Season,0.3
37,Onion - 30g,,,Year_Round,0.67
37,Thick coconut milk - 41 2/3ml,,,Dry_Season,0.45
37,Water - 100ml,,,Dry_Season,0.3
37,Curry powder - 1/3 ½ tablespoon,,,Year_Round,0.62
37,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
37,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
37,Garlic paste - ¾ tablespoon,,,Year_Round,0.63
37,Lime - ½,,,Dry_Season,0.56
37,Curry leaves - Few,,,Year_Round,0.59
37,Salt - As you need,,,Dry_Season,0.3
37,Cooking oil - As you need,,,Dry_Season,0.3
38,Long Beans - 75g,,,Inter_Monsoon,0.78
38,Onion - 18 3/4g,,,Year_Round,0.64
38,Garlic Cloves - 3/4 or 4,,,Year_Round,0.63
38,Curry Leaves - Few,,,Year_Round,0.59
38,Curry Powder - 1/4 ½ tablespoon,,,Year_Round,0.62
38,Thin coconut Milk - 50ml,,,Dry_Season,0.45
38,Thin tamarind Juice - 25ml,,,Dry_Season,0.53
38,Mustard Seeds - ¼ teaspoon,,,Dry_Season,0.3
38,Fenugreek Seeds - ¼ teaspoon,,,Dry_Season,0.3
38,Salt - As you need,,,Dry_Season,0.3
38,Cooking Oil - As you need,,,Dry_Season,0.3
39,Pennywort/Centella Asiatica/Gotu Kola/Vallarai - 12 1/2g,,,Dry_Season,0.3
39,Carrot - 25g,,,Northeast_Monsoon,0.63
39,Onion - 10g,,,Year_Round,0.67
39,Green chili - 3/4 to 5,,,Year_Round,0.8
39,Grated coconut - 1/2 tablespoons,,,Dry_Season,0.45
39,Salt - As you need,,,Dry_Season,0.3
39,Lime - ½,,,Dry_Season,0.56
40,Bitter Gourd - 75g,,,Inter_Monsoon,0.91
40,Onion - 25g,,,Year_Round,0.67
40,Green Chili - 1 or 3,,,Year_Round,0.8
40,Garlic Cloves - 1 or 3,,,Year_Round,0.63
40,Curry Leaves - Few,,,Year_Round,0.59
40,Thin Coconut Milk - 200ml,,,Dry_Season,0.45
40,Tamarind Juice - 50ml,,,Dry_Season,0.53
40,Curry Powder - 1/2 ¼ Tablespoon,,,Year_Round,0.62
40,Fenugreek Seeds - ¼ Teaspoon,,,Dry_Season,0.3
40,Turmeric Powder - ¼ Teaspoon,,,Dry_Season,0.3
40,Sugar - ¼ Teaspoon,,,Dry_Season,0.3
40,Cooking Oil - 1/2 Tablespoon,,,Dry_Season,0.3
40,Salt - As you need,,,Dry_Season,0.3
40,Water - As you need,,,Dry_Season,0.3
41,Ponnanganni keerai/Alternanthera sessilis - 62 1/2g,,,Dry_Season,0.3
41,Grated coconut - 1 tablespoons,,,Dry_Season,0.45
41,Large onion - ½,,,Year_Round,0.64
41,Green chili - 1/2 or 2,,,Year_Round,0.8
41,Red chili - 1/2 or 2,,,Year_Round,0.73
41,Turmeric powder - ¼ teaspoon,,,Dry_Season,0.3
41,Salt - As you need,,,Dry_Season,0.3
41,Cooking oil - As you need,,,Dry_Season,0.3
42,Beef - 1/6kg,,,Inter_Monsoon,0.33
42,Tomato - 25g,,,Inter_Monsoon,0.31
42,Onion - 16 2/3g,,,Year_Round,0.64
42,Garlic cloves - 5/6 or 6,,,Year_Round,0.63
42,Ginger root - Small (About the size of a large garlic clove),,,Year_Round,0.46
42,Curry Leaves - Few,,,Year_Round,0.59
42,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
42,Curry powder - 1/2 tablespoons,,,Year_Round,0.62
42,Thick coconut milk - 25ml,,,Dry_Season,0.45
42,Water - 41 2/3ml,,,Dry_Season,0.3
42,Salt - As you need (KETO people use the Himalayan Pink Salt),,,Inter_Monsoon,0.33
42,Cooking oil - As you need (KETO people use the Organic Coconut Oil),,,Dry_Season,0.45
43,Kurakkan noodles - 1/5 packet (400g),,,Dry_Season,0.3
43,Carrot - 40g,,,Northeast_Monsoon,0.63
43,Green beans - 10g,,,Inter_Monsoon,0.65
43,Cabbage - 14g,,,Southwest_Monsoon,0.41
43,Onion - 40g,,,Year_Round,0.67
43,Curry leaves - 2/5 or 3 sprigs,,,Year_Round,0.59
43,Cooking oil - As you need,,,Dry_Season,0.3
43,Salt - As you need,,,Dry_Season,0.3
43,Crushed garlic - ½ tablespoon,,,Year_Round,0.63
43,Crushed ginger - ¼ tablespoon,,,Year_Round,0.64
43,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
43,Maggi vegetable stock cube - 1/5 tablespoon,,,Dry_Season,0.3
43,Dry roast grated coconut - 4/5 or 5 tablespoons,,,Dry_Season,0.45
44,prawn/shrimp - 100g (Before peeling off the skin),,,Dry_Season,0.3
44,Fenugreek seeds - 1/3 teaspoon,,,Dry_Season,0.3
44,Turmeric powder - ½ teaspoon,,,Dry_Season,0.3
44,Mustard seeds - ½ teaspoon,,,Dry_Season,0.3
44,Onion - 16 2/3g,,,Year_Round,0.64
44,Garlic cloves 1 2/3 or 6,,,Year_Round,0.63
44,Curry leaves - Few,,,Year_Round,0.59
44,Thick tamarind juice - 16 2/3ml to 75ml,,,Dry_Season,0.53
44,Thin coconut milk - 83 1/3ml,,,Dry_Season,0.45
44,Thick coconut milk - 16 2/3ml,,,Dry_Season,0.45
44,Curry powder - 1/3 ½ tablespoon,,,Year_Round,0.62
44,Salt - As you need,,,Dry_Season,0.3
44,Cooking oil - As you need,,,Dry_Season,0.3
45,Beef - 125g,,,Inter_Monsoon,0.37
45,Potatoes - 62 1/2g,,,Dry_Season,0.3
45,Basmati rice - 87 1/2g,,,Year_Round,0.54
45,Onion - 25g,,,Year_Round,0.67
