ingredient_name,usage_count,percentage_of_missing
4-5 tablespoons cornstarch,1,0.10141987829614604
short-grain or carolina rice about 100 grams,1,0.10141987829614604
carolina rice,1,0.10141987829614604
cornstarch leveled,1,0.10141987829614604
luck!,1,0.10141987829614604
carolina rice about 200 grams,1,0.10141987829614604
it reaches room temperature sprinkle with cinnamon.,1,0.10141987829614604
1/4 cups rice 250 grams,1,0.10141987829614604
tablespoons cornstarch about 40 grams,1,0.10141987829614604
short-grain rice about 175 grams such as arborio or valencia,1,0.10141987829614604
serving sprinkle cinnamon on top if desired.,1,0.10141987829614604
uncooked short-grain rice 85 grams,1,0.10141987829614604
short-grain rice,1,0.10141987829614604
basmati rice about 400 grams,1,0.10141987829614604
ghee about 60 grams,1,0.10141987829614604
saffron strands,1,0.10141987829614604
yellow food coloring,1,0.10141987829614604
water about 1.4 liters as needed,1,0.10141987829614604
10 ounces riced cauliflower any flavor,1,0.10141987829614604
16 ounces brussel sprouts,1,0.10141987829614604
14.5 ounces prego creamy cheddar cheese sauce,1,0.10141987829614604
pandan juice,1,0.10141987829614604
sweetened sticky rice 150 grams store-,1,0.10141987829614604
rice about 1 cup or 150 grams,1,0.10141987829614604
mae ploy panang curry paste 25 grams,1,0.10141987829614604
5-minute ambrosia salad,1,0.10141987829614604
rice about 200g,1,0.10141987829614604
about 1.75 oz / 50g,1,0.10141987829614604
dog sausage,1,0.10141987829614604
january 31 2017 this recipe became popular. thank you,1,0.10141987829614604
67luna おいしかったです^^,1,0.10141987829614604
sweet sticky rice about 100 grams,1,0.10141987829614604
1/2 cups rice about 285 grams,1,0.10141987829614604
raisins about 150 grams,1,0.10141987829614604
lemon,1,0.10141987829614604
water about 710 ml,1,0.10141987829614604
topped with cinnamon.,1,0.10141987829614604
1/2 cups uncooked rice about 270 grams,1,0.10141987829614604
dog sausages,1,0.10141987829614604
worcestershire-style sauce,1,0.10141987829614604
brown rice 100 grams,1,0.10141987829614604
1/4 oz shrimp tails 120 grams,1,0.10141987829614604
lemon peel,1,0.10141987829614604
brown rice about 195 grams,1,0.10141987829614604
2-3 tsp coriander,1,0.10141987829614604
1/2 oz pickled bamboo shoots,1,0.10141987829614604
copied basil or coriander,1,0.10141987829614604
abc,1,0.10141987829614604
tamarind paste about 30 grams,1,0.10141987829614604
with a thai-style omelet,1,0.10141987829614604
radish,1,0.10141987829614604
500 grams chive flowers,1,0.10141987829614604
mackerel,1,0.10141987829614604
200 grams gaeng som curry paste,1,0.10141987829614604
tamarind paste or to taste,1,0.10141987829614604
pickled bamboo shoots,1,0.10141987829614604
knorr seasoning,1,0.10141987829614604
water about 500 ml,1,0.10141987829614604
serve.,1,0.10141987829614604
of dok kajorn flowers or substitute with squash blossoms or another edible flower,1,0.10141987829614604
2-3 tablespoons tamarind paste,1,0.10141987829614604
to combine.,1,0.10141987829614604
young jackfruit,1,0.10141987829614604
stalk lemongrass,1,0.10141987829614604
g. shrimp meat,1,0.10141987829614604
pcs. shrimps,1,0.10141987829614604
pcs. shallot,1,0.10141987829614604
pack. climbing wattle,1,0.10141987829614604
tbsp. shrimp paste,1,0.10141987829614604
cup. tamarind juice,1,0.10141987829614604
mango cut into slices,1,0.10141987829614604
nigella seeds,1,0.10141987829614604
turmeric mixed with water,1,0.10141987829614604
mustard paste,1,0.10141987829614604
water or as required,1,0.10141987829614604
radish cut,1,0.10141987829614604
baby broccoli,1,0.10141987829614604
tamarind,1,0.10141987829614604
chllies,1,0.10141987829614604
cloves clove,1,0.10141987829614604
fenugreek seeds / methi dana,1,0.10141987829614604
yellow mustard seeds,1,0.10141987829614604
3-4 cloves,1,0.10141987829614604
thick tamarind pulp,1,0.10141987829614604
garam masala optional,1,0.10141987829614604
it a nice boil,1,0.10141987829614604
methifenugreek seeds,1,0.10141987829614604
nigella seeds kalonji,1,0.10141987829614604
1-2 tsp any pickle i used mango pickle,1,0.10141987829614604
juice,1,0.10141987829614604
beaten,1,0.10141987829614604
cream,1,0.10141987829614604
hot with steamed rice,1,0.10141987829614604
ingredients,1,0.10141987829614604
pepperdews,1,0.10141987829614604
75 ml galangal power,1,0.10141987829614604
coriander stalks,1,0.10141987829614604
dark soy sauce,1,0.10141987829614604
2-3 teaspoon,1,0.10141987829614604
2-3 teaspoon peanuts,1,0.10141987829614604
asoefotida,1,0.10141987829614604
toor dal / chana dal,1,0.10141987829614604
ginger finely,1,0.10141987829614604
hot with a cup of coffee or tea.,1,0.10141987829614604
5-layered blueberry cheesecake,1,0.10141987829614604
moong dal cherupayar parippu,1,0.10141987829614604
turmeric powdr,1,0.10141987829614604
jeerakam,1,0.10141987829614604
oilghee,1,0.10141987829614604
cherupayar parippu,1,0.10141987829614604
plantains ripe -cut to pieces,1,0.10141987829614604
molasses extract - .,1,0.10141987829614604
kismis,1,0.10141987829614604
semolina,1,0.10141987829614604
savala,1,0.10141987829614604
passion fruit,1,0.10141987829614604
tuvar dal,1,0.10141987829614604
boil,1,0.10141987829614604
yellow mogar dal,1,0.10141987829614604
mustards,1,0.10141987829614604
split yellow mung,1,0.10141987829614604
yellow moong daal,1,0.10141987829614604
2-3 tbsp water,1,0.10141987829614604
greenchile,1,0.10141987829614604
wash dal soak in water,1,0.10141987829614604
3-4 tbsp water,1,0.10141987829614604
water plus more,1,0.10141987829614604
piece of ginger,1,0.10141987829614604
hing asafoetida,1,0.10141987829614604
as a tea-time snack.,1,0.10141987829614604
asafoetida or hing,1,0.10141987829614604
split moong dal,1,0.10141987829614604
tbsp. ghee,1,0.10141987829614604
chanadal,1,0.10141987829614604
chilles,1,0.10141987829614604
water+1/2_1cup,1,0.10141987829614604
dry fruits cashewsraisins,1,0.10141987829614604
jeera,1,0.10141987829614604
yellow split peas,1,0.10141987829614604
vada parippu,1,0.10141987829614604
it hot with a cup of black tea or kattanchaya.,1,0.10141987829614604
bowl tuvar dal,1,0.10141987829614604
bowl chana dal,1,0.10141987829614604
hot with tea or coffee.,1,0.10141987829614604
cup-yellow chikapeas leantil,1,0.10141987829614604
inch- ginger,1,0.10141987829614604
-pinch asafoetida,1,0.10141987829614604
keto fat head pizza dough,1,0.10141987829614604
chili,1,0.10141987829614604
1-2 tsp ginger,1,0.10141987829614604
asafoetida/hing,1,0.10141987829614604
moong daal,1,0.10141987829614604
spoon chana daal / bengal gramoptional,1,0.10141987829614604
thick ribeye steak on bbq,1,0.10141987829614604
1min choco mug brownie in microwave eggless,1,0.10141987829614604
split moong dal /cherupayar parippu,1,0.10141987829614604
enchilada soup,1,0.10141987829614604
chanadal/vada parippu,1,0.10141987829614604
chanadal/ vada parippu,1,0.10141987829614604
sago javvarasi,1,0.10141987829614604
3-4 tbsp ghee,1,0.10141987829614604
cook chanadal,1,0.10141987829614604
a pan cook sago till they become transparent.,1,0.10141987829614604
a:1 tbsp sambar podi,1,0.10141987829614604
b:1 tbsp ghee,1,0.10141987829614604
gooseberry size,1,0.10141987829614604
of spinach,1,0.10141987829614604
wait till it is not hot anymore,1,0.10141987829614604
papad around,1,0.10141987829614604
banana stem,1,0.10141987829614604
palak/spinach,1,0.10141987829614604
urad dhal/ ulundhu,1,0.10141987829614604
chanadhal/ kadalai paruppu,1,0.10141987829614604
cumin/jeera seeds,1,0.10141987829614604
panch phoran,1,0.10141987829614604
. use store,1,0.10141987829614604
mixed curry masala/kuzhambu podi,1,0.10141987829614604
bottle goud,1,0.10141987829614604
crushed,1,0.10141987829614604
amchur dry mangopowder,1,0.10141987829614604
kasuri methi,1,0.10141987829614604
jeeracumin seeds,1,0.10141987829614604
saunffennel seeds,1,0.10141987829614604
ginger pieces,1,0.10141987829614604
toovar daal,1,0.10141987829614604
- 3 cups water accordingly,1,0.10141987829614604
my curry indian style my curry indian style i was really into eating out at indian restaurants then i wanted,1,0.10141987829614604
fenugreek,1,0.10141987829614604
tumeric,1,0.10141987829614604
drumsticks skin removed 450 grams,1,0.10141987829614604
water warm,1,0.10141987829614604
water 💦,1,0.10141987829614604
black peppercorns,1,0.10141987829614604
black mustard seeds,1,0.10141987829614604
- 200 ml water,1,0.10141987829614604
corns,1,0.10141987829614604
seeds,1,0.10141987829614604
. garam masala - 1 tsp,1,0.10141987829614604
. cumin - 1 tsp,1,0.10141987829614604
. clove - 3,1,0.10141987829614604
podscrushed,1,0.10141987829614604
another pan,1,0.10141987829614604
oxo cube,1,0.10141987829614604
chickpeas,1,0.10141987829614604
coley fillet,1,0.10141987829614604
fishrohu,1,0.10141987829614604
vadavam,1,0.10141987829614604
lemon size tamarind,1,0.10141987829614604
mixed curry masala,1,0.10141987829614604
tamarind in 1 cup water,1,0.10141987829614604
hot with plain rice.,1,0.10141987829614604
. fenugreek - 1/8 tsp,1,0.10141987829614604
1. soak tamarind in warm water,1,0.10141987829614604
2-3 cloves,1,0.10141987829614604
tsp. fenugreek seeds,1,0.10141987829614604
shrimp,1,0.10141987829614604
chiles,1,0.10141987829614604
cube,1,0.10141987829614604
it's ready to enjoy!,1,0.10141987829614604
1/2-1 cup mayo depending how creamy you like,1,0.10141987829614604
sweet relish,1,0.10141987829614604
paprika or creole seasoning,1,0.10141987829614604
deveined shrimp,1,0.10141987829614604
creole seasoning,1,0.10141987829614604
corn starch,1,0.10141987829614604
1-2 cups corn meal,1,0.10141987829614604
assemble. place yolk in eggs shrimp on top then drizzle your hot sauce mixture.,1,0.10141987829614604
fried shrimp no tails,1,0.10141987829614604
hard eggs,1,0.10141987829614604
mayonnaise or miracle whip,1,0.10141987829614604
relish,1,0.10141987829614604
5th,1,0.10141987829614604
imatation crab meat,1,0.10141987829614604
hard- eggs,1,0.10141987829614604
cream cheese,1,0.10141987829614604
schezwan sauce,1,0.10141987829614604
shrimps,1,0.10141987829614604
breasts,1,0.10141987829614604
prepared mustard,1,0.10141987829614604
breadcrumbs,1,0.10141987829614604
spoons miracle whip,1,0.10141987829614604
spoon yellow mustard,1,0.10141987829614604
1-2 cups shredded cheddar cheese,1,0.10141987829614604
1-2 cups mayonnaise or miracle whip,1,0.10141987829614604
finally scoop 1-2 tablespoons of mixture into,1,0.10141987829614604
eggs in half,1,0.10141987829614604
buffalo wing sauce or sriracha,1,0.10141987829614604
stock,1,0.10141987829614604
celery,1,0.10141987829614604
grapes,1,0.10141987829614604
shredded cheese of your choice,1,0.10141987829614604
smoked paprika,1,0.10141987829614604
broccoli,1,0.10141987829614604
smoked sausage,1,0.10141987829614604
as needed water about 1/2 a cup,1,0.10141987829614604
black ripe olives,1,0.10141987829614604
1-1/2 tablespoons mayonnaise i used homemade,1,0.10141987829614604
yellow prepared mustard,1,0.10141987829614604
olives,1,0.10141987829614604
drumsticks,1,0.10141987829614604
vickys homemade worcestershire sauce from my profile,1,0.10141987829614604
apricot jam,1,0.10141987829614604
vickys soy-free soy sauce from my profile,1,0.10141987829614604
plain yogurt or greek yogurt,1,0.10141987829614604
tabasco sauce,1,0.10141987829614604
at 50 minutes to an hour until golden brown.,1,0.10141987829614604
spinach packed,1,0.10141987829614604
thighs skinless,1,0.10141987829614604
hot with salad or sides of choice,1,0.10141987829614604
mayo,1,0.10141987829614604
1/2 tsp tabasco,1,0.10141987829614604
liquid smoke,1,0.10141987829614604
dry basmati rice,1,0.10141987829614604
brown sauce such as hp,1,0.10141987829614604
tobasco,1,0.10141987829614604
breasts poached cooled shredded,1,0.10141987829614604
tbsp. honey mustard,1,0.10141987829614604
tsp. worcestershire sauce,1,0.10141987829614604
chives,1,0.10141987829614604
button mushrooms,1,0.10141987829614604
balsamic vinegar or cider not malt,1,0.10141987829614604
smoked chipotle chilli’s,1,0.10141987829614604
double cream,1,0.10141987829614604
