title,ingredients,instructions,servings,cook_time,url,scraped_at
Cauliflower upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","medium sized onions | Carrot, capsicum, French beans,peas 1 bowl (all together) | Green chillies chopped | Lemon juice 1 tspoon | Aloo bhujia for serving | Wash and blend cauliflower.chop all veggies | Now heat the pan add oil add cumin seeds now add onion saute till transperant. | Now add carrot, capsicum,beans saute for couple of minutes.add cauliflower mix well and cook for five minutes. | Add salt, lemon juice mix well and serve hot sprinkler aloo bhujia it's optional as it's a low carb dish.tastes nice. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Brined Baked Potato | Apple Fritter Bread | My White Chicken Chili | Basbousa (semolina cake) | Walnut shortbread | Apple Fritter Bread",2,25 mins,https://cookpad.com/eng/recipes/13566453,2025-08-07T18:26:42.919057
Pesarattu upma (moong dal dosa with stuffed upma),"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","-12 Green Chillies | table spoon Cumin seeds | table spoon salt | as required  Oil or ghee to fry dosas | bunch coriander leaves chopped | cup Semolina for making upma | teaspoon mustard seeds | Soak Moong Dal over night and grind in to a thick batter adding chillies, cumin seeds and ginger. | You may add water and make like dosa batter. Add salt. | In a pan add one teaspoon of oil and add mustard and cumin seeds after spluttering add water and salt. When bubbling water add Semolina and cook. After two minutes of cooking switch off the flame. | Place flat non- stick tawa on stove and take a ladle of batter and spread in circular form as thin as possible. | Add stuffing inside with all above-mentioned ingredients and also upma | Fry with ghee until golden in colour | Serve hot with ginger chutney | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Beef Bulgogi (불고기) | 🧑🏽‍🍳🧑🏼‍🍳 Thai Holy Basil Stir-Fry Recipe (Pad Krapow) |ThaiChef food | Vegetarian Momos",4,20 mins,https://cookpad.com/eng/recipes/13466759,2025-08-07T18:26:52.521605
Samai upma (Little millet upma),"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","cup samai (Little millet) | carrot finely chopped | -7 beans finely chopped | Mustard seeds to temper | leaves Few curry | Wash samai and keep it aside. | Heat a pressure cooker with oil. Temper with mustard seeds. Add onion, curry leaves, red chillies and sauté until onion becomes soft. | Add veggies and sauté for a minute. Add salt and water. Add samai and cook it for 3 whistles. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Mini Egg Biscuit | Hamburger Mac and cheese | Garbanzo Avocado open Faced sandwich | Bitter gourd poriyal | Geronimo Stilton’s Secret Chocolate Chip Cookie Recipe | Healthy donut alternative",3,15 mins,https://cookpad.com/eng/recipes/13068213,2025-08-07T18:27:04.542194
Banana appam with white sauce,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","tablespoon wheat flour | tablespoon semolina | pinch Nutmeg powder | Pinch baking soda | cups thick coconut milk | tablespoon Jaggery | Mash banana, add semolina and wheat flour | Add Jaggery mix and keep aside for 10 mins | Now add milk,nutmeg powder and pinch of baking soda | Heat appam stand grease with ghee pour mixture and cook on low flame | Now take thick coconut milk add sugar and cook on low flame when it becomes lookwarm add paste of corn starch mix well and cook for minute and serve | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Lee's Chicken, Broccoli, Rice, Cheese Casserole | Tarragon Deviled Eggs | Chicken & crab Alfredo lasagna roll ups | Strawberry Rhubarb pie | Buffalo chicken wontons | Spinach in Goji Berries | Moist Chocolate Cake | Smoke bake potatoes",,30 mins,https://cookpad.com/eng/recipes/12922470,2025-08-07T18:27:12.098906
Vendhaya kuzhambu,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","tbs Sprouted vendayam (fenugreek) - | Chopped tomato - | Green tomato/ tomatillo - | Tamarind - gooseberry size | tsp Chilli powder - | tsp Coriander powder - | tsp Kashmiri chilli powder - | -2 tsp Sesame oil- | /2 tsp Mustard seeds- | /2 tsp Urad dal- | Salt - as required | Heat oil in a pan and add mustard, let it splutter and add the urad dal and fenugreek seeds. | Saute well and add in the onion, tomato and saute well. Now add in all the spices and masalas listed. | Cook till the vegetables are soft, then add in the tamarind extract along with water, and cook till the water comes to a kolambu (thick soupy) consistency. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Tonkatsu  / Chicken katsu | Simple bruschetta",,,https://cookpad.com/eng/recipes/12321395,2025-08-07T18:27:16.044687
Mango shevai upma sweet,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","bowl mango flavoured vermicelli(homemade) | tablespoon desi ghee | /2 tsp Cardamom powder | as needed Dry fruits | Heat pan and roast vermicelli for 2,3 mins | Now add 2cups of water and cook. | When water get absorbed add sugar. | When sugar get melted add milk, cardamom powder and dry fruits | Cook for more 4 mins and serve. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Au Gratin Potatoes | Lemon and Garlic Baked Mediterranean Chicken | Ginger Pork (shogayaki) | Onigiri Rice Balls | Best almond flour pancakes | Asian garlic shaking beef | Seared Ahi tuna steak | Carrot Thyme soup | Chocolate Fudge Cake",5,3 mins,https://cookpad.com/eng/recipes/12891243,2025-08-07T18:27:19.527345
Shavige upma (vermicelli upma),"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email",cup roasted vermicelli | tsp shredded coconut | 5 tsp mustard seeds | 5 tsp Channa dal | leaves Coriander | 5 tsp turmeric powder | inch ginger chopped | In a pan take oil + mustard seeds+urrad dal + Channa dal + curry leaves + cashews + raisins + peanuts + ginger + chilli and sauté for awhile | Now add a cinnamon stick + onion + green peas + turmeric and sauté well until onions are cooked. | Now add 4 cups water + salt + jaggery + lemon and allow the water to boil. | Once it’s boiled add roasted vermicelli + ghee to it. Boil in medium flame until vermicelli is cooked and water evaporates. | Now add shredded coconut + coriander leaves and mix well. Let it cool for 15 minutes and then serve it. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | EASY chicken & biscuits casserole | Broiled lamb kebabs | Korean Fried Chicken | Slow cooker 15 bean & ham soup with or without pasta | Slow Cooker Stuffed Shells with Spinach | Slow Cooker Cream Cheese Crack Chicken | Pasta in White Sauce,,15 mins,https://cookpad.com/eng/recipes/12862256,2025-08-07T18:27:23.120090
Wheat vermicelli upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","bowls wheat vermicelli | Oil, asefoetida, salt, sugar | -4 Green chillies | First dry roast vermicelli in a pan | Take out in a plate | Heat pan add oil | Add mustard seeds, curry leaves, asefoetida | Add chopped onion, carrot, tomato, green chillies saute till light brown | Now add two big glass water, add sugar and salt as per taste | When it boils add vermicellie, cook for five to seven minutes, serve hot with lemon and poody chutney। here you can serve with coconut chutney also | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Sharon's Potato Salad | Ingredient Banana Ice Cream (Vegan)🍌🍒🍌🍒🍌🍒🍌🍒🍌🍒🍌🍒🍌 | Sushi Rice (Shari, Sumeshi, Sushimeshi) | Balsamic, Brown Sugar Strawberries",4,,https://cookpad.com/eng/recipes/12785342,2025-08-07T18:27:34.633139
Bread Upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","slices brown bread | /2 cup onion finely chopped | /2 tomato finely chopped | tsp mustard seeds | /2 tsp turmeric powder | Salt as per taste | tbsp finely chopped coriander leaves | finely chopped green chilly | Trim the edges of the bread then slices the bread into small square pieces once done keep it aside then | Heat a Kadhai add oil then add mustard seeds, cumin seeds, dry red chilly then add finely chopped onions and chopped green chillies saute for few minutes then add turmeric powder saute it then add chopped tomatoes and salt cook it until tomatoes slightly soft | Then add the bread pieces cook it gently as bread are soft, now drizzle it with dome water then again mix it for few minutes then turn off the heat add chopped coriander leaves and is ready to serve.. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Crockpot Southwest Chicken 🐔 | Pear Mascarpone Cake | Grilled cheese cheeseburger | Basque Burnt Cheesecake | Stain glass jello bars EASY | Whole wheat jeera biscuit | Basque Burnt Cheesecake",,,https://cookpad.com/eng/recipes/12752775,2025-08-07T18:27:39.161509
Poha upma,"Search | Premium






Top Cooksnapped Recipes



Premium Meal Plans



Top Viewed Recipes | Top Cooksnapped Recipes | Premium Meal Plans | Top Viewed Recipes | Premium | Challenges | FAQ | Send Feedback | Your Collection | Add Cooksnap | Unfollow




    Follow | Print | Copy URL
 
            Copied! | Email","green or dry red chilli | /2 tsp ginger and garlic paste (optional) | tsp urad Dal and mustard seed | Curry leaves little | tsp Coriander leaves | Soak poha for 5 minutes and drain the water. | Keep a pan pour oil add chilli, urad Dal,mustard seeds and curry leaves. | Add jeera onion and saute well.add poha and store well keep the flame in low. | Add coriander leaves mix well and switch of the stove and serve hot. | Thai Coconut Pancakes | Cherry bakewell baked oats (vegan) | Hara Bhara Kabab- A veg party starter | Hot-Dogity Sauce | Crockpot Cinnamon Bun Casserole | Whole Wheat Dinner Roll | Spicy Shrimp Fried Rice (Indonesian Style) | Mom's garlic cheese bread | Refreshing Summer Greek Pasta Salad | ingredient carrot cake bites 🥕🥕
(No sugar, No flours, No Dairy) | Mutton/Beef Kofta - Hyderabad style",3,15 mins,https://cookpad.com/eng/recipes/12572498,2025-08-07T18:27:43.099415
